# r[Å]   g_mean   g_std
7.099999999999999645e+00 1.401949168569693649e+00 3.822860632285046342e-03
7.300000000000000711e+00 1.421715941076915568e+00 4.642786763693038804e-03
7.500000000000000000e+00 1.438078651523464480e+00 5.023141805907949814e-03
7.700000000000001066e+00 1.450355811096466274e+00 2.126807241209817834e-03
7.900000000000000355e+00 1.457156362480405809e+00 3.520760428556357017e-03
8.100000000000001421e+00 1.459164951876499972e+00 5.726698660353578794e-03
8.300000000000000711e+00 1.463163772848065536e+00 4.469775009630223318e-03
8.500000000000000000e+00 1.469712264271851643e+00 1.342715341427944912e-03
8.699999999999999289e+00 1.477078773697523717e+00 4.551640699641108963e-03
8.900000000000000355e+00 1.482389721135763949e+00 3.865906422775354338e-03
9.100000000000001421e+00 1.490370046490423483e+00 5.019666945928988669e-03
9.300000000000000711e+00 1.496082209533999619e+00 5.390458262106965354e-03
9.500000000000000000e+00 1.501488732606503618e+00 3.403112286231369573e-03
9.700000000000001066e+00 1.503836829917711837e+00 3.407378091420431958e-03
9.900000000000000355e+00 1.506237148855036567e+00 2.088354627657494286e-03
1.010000000000000142e+01 1.508317927204278597e+00 5.573992828473340114e-03
1.030000000000000071e+01 1.510344839130079109e+00 5.134411779042894614e-03
1.050000000000000000e+01 1.514061824809642021e+00 3.191960757156236776e-03
1.070000000000000107e+01 1.514358289017404990e+00 1.566517763284358804e-03
1.090000000000000036e+01 1.519204743757619935e+00 2.606449479228952360e-03
1.110000000000000142e+01 1.522226803838399478e+00 9.540142905433625798e-04
1.130000000000000071e+01 1.524478750940173155e+00 3.419128277219612728e-03
1.150000000000000000e+01 1.527086982358373701e+00 2.955286559793365419e-03
1.170000000000000107e+01 1.526412814918346017e+00 3.574279075169033842e-03
1.190000000000000036e+01 1.533015349144434269e+00 4.755261322385872548e-03
1.210000000000000142e+01 1.531125407893830115e+00 2.670448364286833517e-03
1.230000000000000071e+01 1.532698547236479802e+00 3.198043202193089334e-03
1.250000000000000000e+01 1.535430778483740211e+00 4.119327891255264787e-03
1.270000000000000107e+01 1.538392401976039325e+00 3.340872294055071898e-03
1.290000000000000036e+01 1.539567370337032282e+00 2.414661664287378381e-03
1.310000000000000142e+01 1.543845088824282286e+00 3.102202718193169950e-03
1.330000000000000071e+01 1.546092745482165798e+00 1.980627819038954709e-03
1.350000000000000000e+01 1.545804586441740014e+00 2.708446933709511822e-03
1.370000000000000107e+01 1.547179885261396493e+00 3.394375123531014667e-03
1.390000000000000036e+01 1.548548465853986755e+00 3.694246111530105885e-03
1.410000000000000142e+01 1.551155911857312164e+00 3.524696464915250734e-03
1.430000000000000071e+01 1.550247852591115860e+00 3.871739272401832337e-03
1.450000000000000000e+01 1.550542741806149705e+00 2.215905234326667663e-03
1.470000000000000107e+01 1.552530502708474147e+00 1.751839601997335705e-03
1.490000000000000036e+01 1.553048732979990687e+00 1.600189057242649765e-03
1.510000000000000142e+01 1.553709139972205833e+00 3.104624986428696377e-03
1.530000000000000071e+01 1.554519058375797513e+00 3.145868300280280257e-03
1.550000000000000000e+01 1.555218997069082620e+00 1.930424131894144723e-03
1.570000000000000107e+01 1.553810056839549203e+00 3.406886989022701873e-03
1.590000000000000036e+01 1.555964399078091587e+00 2.242991098658897627e-03
1.610000000000000142e+01 1.556741348217729692e+00 3.527771188673457792e-03
1.630000000000000071e+01 1.556002739492957643e+00 2.916146399394360135e-03
1.650000000000000000e+01 1.556897598182544806e+00 1.947278832568515201e-03
1.670000000000000284e+01 1.557611888361455366e+00 3.983656671372895995e-03
1.689999999999999858e+01 1.557310120213086790e+00 2.770730178485957679e-03
1.710000000000000142e+01 1.560087686211717228e+00 3.307223641169989257e-03
1.730000000000000071e+01 1.560049948204988324e+00 3.005883868973448312e-03
1.750000000000000000e+01 1.560017140352822018e+00 4.017260185279097548e-03
1.770000000000000284e+01 1.559238137790987855e+00 3.554267778895158717e-03
1.789999999999999858e+01 1.560163434528402115e+00 5.146873084405951572e-03
1.810000000000000142e+01 1.560823735189215133e+00 4.671956910988110147e-03
1.830000000000000071e+01 1.561488247780502325e+00 5.971228529364737241e-03
1.850000000000000000e+01 1.560797045192560573e+00 4.901569419673678339e-03
1.870000000000000284e+01 1.562362493574795286e+00 5.194291457192349269e-03
1.889999999999999858e+01 1.560785097251101705e+00 5.590277706521242819e-03
1.910000000000000142e+01 1.561642825301810866e+00 5.688649050820799441e-03
1.930000000000000426e+01 1.560943661471875687e+00 5.542584506911914927e-03
1.950000000000000000e+01 1.559761230288861711e+00 6.658487184426895890e-03
1.970000000000000284e+01 1.559881609190773455e+00 5.486404782158486697e-03
1.989999999999999858e+01 1.559266253013720016e+00 5.669801509613154981e-03
2.010000000000000142e+01 1.559173612996896052e+00 5.337059643548424520e-03
2.030000000000000426e+01 1.558957371308101747e+00 6.760348830938887367e-03
2.050000000000000000e+01 1.556951755042804253e+00 7.190282823604303777e-03
2.070000000000000284e+01 1.556958803185452878e+00 6.756992586862678972e-03
2.089999999999999858e+01 1.557084980679364294e+00 6.504430653445386623e-03
2.110000000000000142e+01 1.555380163903330670e+00 6.662341117257243421e-03
2.130000000000000426e+01 1.553865945397206794e+00 7.841285156794757655e-03
2.150000000000000000e+01 1.552278461387178288e+00 8.289253930069063331e-03
2.170000000000000284e+01 1.551634961833654458e+00 7.325446674712509168e-03
2.189999999999999858e+01 1.551358972682185922e+00 6.726979291991500541e-03
2.210000000000000142e+01 1.549799293631000552e+00 7.090212988561658998e-03
2.230000000000000426e+01 1.549348374285629104e+00 7.998918288518818906e-03
2.250000000000000000e+01 1.547239386315063081e+00 6.445549349910709852e-03
2.270000000000000284e+01 1.546702574513614259e+00 6.071841645608221094e-03
2.289999999999999858e+01 1.545430676182542484e+00 6.873239197222085622e-03
