# r[Å]   g(r)
3.130000000000000426e+01 1.460107776100274979e+00
3.150000000000000000e+01 1.457158756261660804e+00
3.170000000000000284e+01 1.451489264512770383e+00
3.189999999999999858e+01 1.449565810807550648e+00
3.210000000000000142e+01 1.444873534064178511e+00
3.229999999999999716e+01 1.442924693980028872e+00
3.250000000000000000e+01 1.437998955434304671e+00
3.270000000000000284e+01 1.433086067212062664e+00
3.290000000000000568e+01 1.429268583911471158e+00
3.310000000000000142e+01 1.425314411969912154e+00
3.329999999999999716e+01 1.421857426813422975e+00
3.350000000000000000e+01 1.418182078259324408e+00
3.370000000000000284e+01 1.410116405434114872e+00
3.390000000000000568e+01 1.407427673882883035e+00
3.410000000000000142e+01 1.403134788010786949e+00
3.429999999999999716e+01 1.398849056060075480e+00
3.450000000000000000e+01 1.393024704323034602e+00
3.470000000000000284e+01 1.388065587786908139e+00
3.490000000000000568e+01 1.383190828395608918e+00
3.510000000000000142e+01 1.380351021225636243e+00
3.529999999999999716e+01 1.374105886468484750e+00
3.550000000000000000e+01 1.369484052246250583e+00
3.570000000000000284e+01 1.363528851006601261e+00
3.590000000000000568e+01 1.357335020868832842e+00
3.610000000000000142e+01 1.352859491338884501e+00
3.629999999999999716e+01 1.350312935790678015e+00
3.650000000000000000e+01 1.341970479331412447e+00
3.670000000000000284e+01 1.338922277580450571e+00
3.690000000000000568e+01 1.333136681711686089e+00
3.710000000000000142e+01 1.328017458123951888e+00
3.729999999999999716e+01 1.321323812638248718e+00
3.750000000000000000e+01 1.316851831838843356e+00
3.770000000000000284e+01 1.312430657949626989e+00
3.790000000000000568e+01 1.304683355507989750e+00
3.810000000000000142e+01 1.300537261502170194e+00
3.830000000000000426e+01 1.293968656211800461e+00
3.850000000000000000e+01 1.289757027166228420e+00
3.870000000000000284e+01 1.284578813216054494e+00
3.890000000000000568e+01 1.278904979819442733e+00
3.910000000000000142e+01 1.274008969024465365e+00
3.930000000000000426e+01 1.267984812768158775e+00
3.950000000000000000e+01 1.262743444405602267e+00
3.970000000000000284e+01 1.256151341746643668e+00
3.990000000000000568e+01 1.250593388794917660e+00
