# r[Å]   g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 2.209933196789468698e-03
1.700000000000000178e+00 9.416875972915865478e-02
1.899999999999999911e+00 1.852627656047615146e-01
2.100000000000000089e+00 1.355613272880837883e-01
2.300000000000000266e+00 1.274047561439489440e-01
2.500000000000000000e+00 2.646090405296257497e-01
2.700000000000000178e+00 5.848467868120893476e-01
2.900000000000000355e+00 7.449281044527679141e-01
3.100000000000000089e+00 7.534694328989595125e-01
3.300000000000000266e+00 8.545145871163392082e-01
3.500000000000000000e+00 9.626380374286165331e-01
3.700000000000000178e+00 1.009727669017000062e+00
3.900000000000000355e+00 9.978292472997501994e-01
4.099999999999999645e+00 1.000950022494594638e+00
4.300000000000000711e+00 1.017805458306835664e+00
4.500000000000000000e+00 1.087383984966539874e+00
4.700000000000001066e+00 1.152603147889869062e+00
4.900000000000000355e+00 1.169790896480908504e+00
5.099999999999999645e+00 1.201164632835664436e+00
5.300000000000000711e+00 1.248187171063037448e+00
5.500000000000000000e+00 1.272197863190656308e+00
5.700000000000001066e+00 1.281768249647159186e+00
5.900000000000000355e+00 1.274858553129070815e+00
6.099999999999999645e+00 1.294778447276721201e+00
6.300000000000000711e+00 1.313690170443345462e+00
6.500000000000000000e+00 1.326865489581537938e+00
6.700000000000001066e+00 1.350887184413641195e+00
6.900000000000000355e+00 1.376598569759481805e+00
7.099999999999999645e+00 1.400823857859384125e+00
7.300000000000000711e+00 1.419723673668062069e+00
7.500000000000000000e+00 1.437133633260206489e+00
7.700000000000001066e+00 1.450038981110910674e+00
7.900000000000000355e+00 1.457919914213287926e+00
8.100000000000001421e+00 1.468923740871654005e+00
8.300000000000000711e+00 1.457774071699568852e+00
8.500000000000000000e+00 1.472323118476907888e+00
8.699999999999999289e+00 1.472853269533487719e+00
8.900000000000000355e+00 1.479905011323251252e+00
9.100000000000001421e+00 1.488812226914328685e+00
9.300000000000000711e+00 1.493018340789247667e+00
9.500000000000000000e+00 1.495830197309191867e+00
9.700000000000001066e+00 1.505996441446524337e+00
9.900000000000000355e+00 1.505651146575798460e+00
1.010000000000000142e+01 1.508098900940863629e+00
1.030000000000000071e+01 1.510275782034519398e+00
1.050000000000000000e+01 1.516723735536865236e+00
1.070000000000000107e+01 1.513194889573646451e+00
1.090000000000000036e+01 1.515780981592074417e+00
1.110000000000000142e+01 1.522598227684780925e+00
1.130000000000000071e+01 1.522884385523765483e+00
1.150000000000000000e+01 1.523402408751520554e+00
1.170000000000000107e+01 1.526227668818866956e+00
1.190000000000000036e+01 1.529485916491143183e+00
1.210000000000000142e+01 1.530175806263794680e+00
1.230000000000000071e+01 1.533383804429711672e+00
1.250000000000000000e+01 1.537717197049650153e+00
1.270000000000000107e+01 1.536538139083837962e+00
1.290000000000000036e+01 1.536603251992988639e+00
1.310000000000000142e+01 1.541739117978290441e+00
1.330000000000000071e+01 1.546549082378783524e+00
1.350000000000000000e+01 1.542276631735334469e+00
1.370000000000000107e+01 1.543236210807939823e+00
1.390000000000000036e+01 1.548130502066002112e+00
1.410000000000000142e+01 1.549677051292967400e+00
1.430000000000000071e+01 1.549418830654745616e+00
1.450000000000000000e+01 1.551420472870947087e+00
1.470000000000000107e+01 1.553922156480438188e+00
1.490000000000000036e+01 1.553635803320906339e+00
1.510000000000000142e+01 1.557705143266993941e+00
1.530000000000000071e+01 1.555759650445948550e+00
1.550000000000000000e+01 1.551094543199452502e+00
1.570000000000000107e+01 1.552763950294570483e+00
1.590000000000000036e+01 1.556869923150046686e+00
1.610000000000000142e+01 1.554552610273904456e+00
1.630000000000000071e+01 1.555298698619590914e+00
1.650000000000000000e+01 1.556552801768566585e+00
1.670000000000000284e+01 1.557765291279748832e+00
1.689999999999999858e+01 1.558086218190097183e+00
1.710000000000000142e+01 1.561914498594680456e+00
1.730000000000000071e+01 1.560760183191635342e+00
1.750000000000000000e+01 1.560335110841174711e+00
1.770000000000000284e+01 1.561110990523838726e+00
1.789999999999999858e+01 1.562297610166742956e+00
1.810000000000000142e+01 1.562597036681019125e+00
1.830000000000000071e+01 1.562805507296439300e+00
1.850000000000000000e+01 1.560301402512470181e+00
1.870000000000000284e+01 1.565992820555318410e+00
1.889999999999999858e+01 1.564336041504325481e+00
1.910000000000000142e+01 1.560113628959393983e+00
1.930000000000000426e+01 1.562877743414110565e+00
1.950000000000000000e+01 1.561543348826972544e+00
1.970000000000000284e+01 1.563113682697269580e+00
1.989999999999999858e+01 1.561936335460405223e+00
2.010000000000000142e+01 1.562182946633863478e+00
2.030000000000000426e+01 1.559703329295913710e+00
2.050000000000000000e+01 1.559798751786136695e+00
2.070000000000000284e+01 1.556111209800776551e+00
2.089999999999999858e+01 1.559986569501007780e+00
2.110000000000000142e+01 1.558284580705960209e+00
2.130000000000000426e+01 1.556556165670138991e+00
2.150000000000000000e+01 1.554343527987438245e+00
2.170000000000000284e+01 1.553411530386356487e+00
2.189999999999999858e+01 1.553510472031779610e+00
2.210000000000000142e+01 1.553750495046689606e+00
2.230000000000000426e+01 1.550373170721965232e+00
2.250000000000000000e+01 1.547350444190759289e+00
2.270000000000000284e+01 1.549339766936720375e+00
2.289999999999999858e+01 1.545684502981377051e+00
2.310000000000000142e+01 1.545250549410908114e+00
2.330000000000000426e+01 1.544798905869981587e+00
2.350000000000000000e+01 1.541365327076608338e+00
2.370000000000000284e+01 1.541076994289276580e+00
2.389999999999999858e+01 1.539598535386768496e+00
2.410000000000000142e+01 1.538810380370176700e+00
2.430000000000000426e+01 1.534254189675241742e+00
2.450000000000000000e+01 1.534179001565980416e+00
2.470000000000000284e+01 1.529471804337688923e+00
2.489999999999999858e+01 1.529410045066848634e+00
2.510000000000000142e+01 1.524212554316535684e+00
2.530000000000000426e+01 1.524696780086185255e+00
2.550000000000000000e+01 1.519203037535080458e+00
2.570000000000000284e+01 1.518162592938146149e+00
2.589999999999999858e+01 1.515010024714146475e+00
2.610000000000000142e+01 1.513880726722165893e+00
2.630000000000000426e+01 1.510596675479784157e+00
2.650000000000000000e+01 1.508119234709985879e+00
2.670000000000000284e+01 1.507522047859713110e+00
2.689999999999999858e+01 1.503174708762033962e+00
2.710000000000000142e+01 1.500595606408044347e+00
2.730000000000000426e+01 1.496773590763813999e+00
2.750000000000000000e+01 1.496465949532544970e+00
2.770000000000000284e+01 1.490116350166510673e+00
2.789999999999999858e+01 1.488918577301570512e+00
2.810000000000000142e+01 1.486220880669075983e+00
2.830000000000000426e+01 1.483028532947729294e+00
2.850000000000000000e+01 1.479730054225358638e+00
2.870000000000000284e+01 1.477715237921962244e+00
2.889999999999999858e+01 1.474095607827839549e+00
2.910000000000000142e+01 1.469393846750371102e+00
2.930000000000000426e+01 1.468195292032508092e+00
2.950000000000000000e+01 1.461068908795714938e+00
2.970000000000000284e+01 1.459829088978765954e+00
2.989999999999999858e+01 1.457083156274399993e+00
3.010000000000000142e+01 1.454161712994915812e+00
3.030000000000000426e+01 1.451135942910387167e+00
3.050000000000000000e+01 1.446622714973415658e+00
3.070000000000000284e+01 1.442889278093646421e+00
3.089999999999999858e+01 1.440389377017563977e+00
3.110000000000000142e+01 1.435674059615929643e+00
