# r[Å]   g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 1.578821577960736128e-03
1.700000000000000178e+00 8.730083001820682087e-02
1.899999999999999911e+00 1.701352114594206488e-01
2.100000000000000089e+00 1.368766760286309059e-01
2.300000000000000266e+00 1.367036781203251339e-01
2.500000000000000000e+00 2.627246631016706413e-01
2.700000000000000178e+00 5.793963467659919431e-01
2.900000000000000355e+00 7.050666873954091196e-01
3.100000000000000089e+00 7.631594313646822281e-01
3.300000000000000266e+00 8.464458634188610775e-01
3.500000000000000000e+00 9.753622984996952461e-01
3.700000000000000178e+00 9.931347307704452287e-01
3.900000000000000355e+00 1.004939444787653846e+00
4.099999999999999645e+00 1.002069917276122268e+00
4.300000000000000711e+00 1.015496672984795623e+00
4.500000000000000000e+00 1.097706935512631654e+00
4.700000000000001066e+00 1.146540611042804025e+00
4.900000000000000355e+00 1.177241428013208857e+00
5.099999999999999645e+00 1.200160441867928363e+00
5.300000000000000711e+00 1.243838500339231823e+00
5.500000000000000000e+00 1.270015488802967774e+00
5.700000000000001066e+00 1.279272932591008605e+00
5.900000000000000355e+00 1.280208670551631345e+00
6.099999999999999645e+00 1.292518039072347857e+00
6.300000000000000711e+00 1.314278646784751370e+00
6.500000000000000000e+00 1.336108126135064023e+00
6.700000000000001066e+00 1.354581366367887840e+00
6.900000000000000355e+00 1.384927963398831618e+00
7.099999999999999645e+00 1.404292018117184293e+00
7.300000000000000711e+00 1.425652421800789105e+00
7.500000000000000000e+00 1.441869751920270781e+00
7.700000000000001066e+00 1.447456593066297259e+00
7.900000000000000355e+00 1.456678800497251292e+00
8.100000000000001421e+00 1.454333565914502246e+00
8.300000000000000711e+00 1.462645060074003744e+00
8.500000000000000000e+00 1.469784529575135501e+00
8.699999999999999289e+00 1.476402418226969049e+00
8.900000000000000355e+00 1.478360850027438111e+00
9.100000000000001421e+00 1.496379079010614399e+00
9.300000000000000711e+00 1.494385946853713287e+00
9.500000000000000000e+00 1.500109450349574436e+00
9.700000000000001066e+00 1.504057429608337548e+00
9.900000000000000355e+00 1.504933458352061049e+00
1.010000000000000142e+01 1.500125318552967046e+00
1.030000000000000071e+01 1.511600287872498116e+00
1.050000000000000000e+01 1.512337590336061632e+00
1.070000000000000107e+01 1.512691182740051765e+00
1.090000000000000036e+01 1.520013477326777052e+00
1.110000000000000142e+01 1.522654551844456083e+00
1.130000000000000071e+01 1.522207776074267827e+00
1.150000000000000000e+01 1.528827768502694529e+00
1.170000000000000107e+01 1.522664215371350771e+00
1.190000000000000036e+01 1.530754287383553347e+00
1.210000000000000142e+01 1.527339773425126390e+00
1.230000000000000071e+01 1.529431107880533824e+00
1.250000000000000000e+01 1.533012013966057241e+00
1.270000000000000107e+01 1.538283829778730460e+00
1.290000000000000036e+01 1.539847669672295805e+00
1.310000000000000142e+01 1.543033393592256219e+00
1.330000000000000071e+01 1.545734775729699306e+00
1.350000000000000000e+01 1.543453872445070818e+00
1.370000000000000107e+01 1.544573699987836557e+00
1.390000000000000036e+01 1.542397942984889525e+00
1.410000000000000142e+01 1.549157075932280803e+00
1.430000000000000071e+01 1.551440486175718725e+00
1.450000000000000000e+01 1.553476350377054782e+00
1.470000000000000107e+01 1.554261477422671511e+00
1.490000000000000036e+01 1.552105406069777649e+00
1.510000000000000142e+01 1.552341561405445214e+00
1.530000000000000071e+01 1.555551706478466079e+00
1.550000000000000000e+01 1.555648903749685008e+00
1.570000000000000107e+01 1.552609535814057029e+00
1.590000000000000036e+01 1.554622284107851193e+00
1.610000000000000142e+01 1.552219055635675193e+00
1.630000000000000071e+01 1.555061941394443759e+00
1.650000000000000000e+01 1.556329057449040265e+00
1.670000000000000284e+01 1.560493117742959734e+00
1.689999999999999858e+01 1.560816629172462777e+00
1.710000000000000142e+01 1.561759074415544069e+00
1.730000000000000071e+01 1.560422324540885919e+00
1.750000000000000000e+01 1.560785206587867124e+00
1.770000000000000284e+01 1.560045178446404446e+00
1.789999999999999858e+01 1.561262251684925495e+00
1.810000000000000142e+01 1.560368224484118382e+00
1.830000000000000071e+01 1.564385804492802512e+00
1.850000000000000000e+01 1.561319299149056983e+00
1.870000000000000284e+01 1.566188621483225463e+00
1.889999999999999858e+01 1.561824686485415059e+00
1.910000000000000142e+01 1.564967994205101798e+00
1.930000000000000426e+01 1.561218562245407560e+00
1.950000000000000000e+01 1.558655134216809568e+00
1.970000000000000284e+01 1.560543069066029132e+00
1.989999999999999858e+01 1.559672552260761291e+00
2.010000000000000142e+01 1.560013900432559053e+00
2.030000000000000426e+01 1.559711027506547554e+00
2.050000000000000000e+01 1.558108795325048757e+00
2.070000000000000284e+01 1.557530679914245653e+00
2.089999999999999858e+01 1.559306859408401191e+00
2.110000000000000142e+01 1.558866296416118846e+00
2.130000000000000426e+01 1.553195773044712791e+00
2.150000000000000000e+01 1.552223291198701283e+00
2.170000000000000284e+01 1.551080041741305537e+00
2.189999999999999858e+01 1.550918146134689923e+00
2.210000000000000142e+01 1.546482876120493843e+00
2.230000000000000426e+01 1.549309335923639175e+00
2.250000000000000000e+01 1.547910871952982825e+00
2.270000000000000284e+01 1.546924357244312320e+00
2.289999999999999858e+01 1.543752382499591125e+00
2.310000000000000142e+01 1.544463412769377486e+00
2.330000000000000426e+01 1.541095664079844330e+00
2.350000000000000000e+01 1.540840625165759814e+00
2.370000000000000284e+01 1.538216132375803014e+00
2.389999999999999858e+01 1.535102088054495439e+00
2.410000000000000142e+01 1.536605336548373835e+00
2.430000000000000426e+01 1.533165225052114611e+00
2.450000000000000000e+01 1.532198516292925250e+00
2.470000000000000284e+01 1.529012847052434232e+00
2.489999999999999858e+01 1.525116309012742644e+00
2.510000000000000142e+01 1.523514226128779958e+00
2.530000000000000426e+01 1.520927180276377522e+00
2.550000000000000000e+01 1.521018339502602457e+00
2.570000000000000284e+01 1.514495529011107733e+00
2.589999999999999858e+01 1.515853826502272961e+00
2.610000000000000142e+01 1.513938695240861776e+00
2.630000000000000426e+01 1.507974710117203854e+00
2.650000000000000000e+01 1.508413947406659572e+00
2.670000000000000284e+01 1.503891060808068669e+00
2.689999999999999858e+01 1.501921473085837677e+00
2.710000000000000142e+01 1.498981796706836400e+00
2.730000000000000426e+01 1.497314750882523304e+00
2.750000000000000000e+01 1.491556711424631754e+00
2.770000000000000284e+01 1.491371214005056789e+00
2.789999999999999858e+01 1.489118182864279216e+00
2.810000000000000142e+01 1.485676820727805714e+00
2.830000000000000426e+01 1.482203196073921703e+00
2.850000000000000000e+01 1.480638235612608655e+00
2.870000000000000284e+01 1.478420808193856129e+00
2.889999999999999858e+01 1.470633906184036110e+00
2.910000000000000142e+01 1.470034941797706773e+00
2.930000000000000426e+01 1.464797424522219949e+00
2.950000000000000000e+01 1.462723090819701977e+00
2.970000000000000284e+01 1.458277542196915411e+00
2.989999999999999858e+01 1.457003146573076835e+00
3.010000000000000142e+01 1.452293723277629844e+00
3.030000000000000426e+01 1.448639921218171978e+00
3.050000000000000000e+01 1.445506688614597746e+00
3.070000000000000284e+01 1.441740760196287052e+00
3.089999999999999858e+01 1.438705785110853119e+00
3.110000000000000142e+01 1.434506055231881794e+00
