frame,Rg
0,35.6222681790555
1,35.572290083906445
2,35.60989165820796
3,35.608376397662994
4,35.56952000459525
5,35.60053414324733
6,35.511400786688114
7,35.56040090132836
8,35.57903680008601
9,35.53733621830341
10,35.54658977010615
11,35.525213305562666
12,35.57131804042425
13,35.54092239671495
14,35.55125969820727
15,35.60599979142886
16,35.58081299761319
17,35.58563075133151
18,35.56333917067962
19,35.57311987676385
20,35.558424089430034
21,35.539398094264634
22,35.5438359386359
23,35.555685846128405
24,35.547631994760614
25,35.4810108239068
26,35.52486900270153
27,35.551293604682556
28,35.57571833702537
29,35.55836031630946
30,35.59386098609699
31,35.59876380684302
32,35.57248341769557
33,35.498282237416134
34,35.55178124006864
35,35.54493073803224
36,35.562346631486776
37,35.51194910891906
38,35.55721624602929
39,35.57406300981446
40,35.51378485216952
41,35.54146087169831
42,35.531518646137194
43,35.56456030782294
44,35.557647936818086
45,35.498591946653406
46,35.50687278769568
47,35.57168416436428
48,35.575387351685
49,35.60174985400023
50,35.581244334145794
51,35.56489504551149
52,35.59233770910817
53,35.530149792278145
54,35.58083504004975
55,35.55058847104349
56,35.59333635860501
57,35.54055552976841
58,35.56902969065704
59,35.55553981909571
60,35.550304199822165
61,35.54827867217236
62,35.59984760174433
63,35.537076372042996
64,35.58645476268182
65,35.5566513491753
66,35.59400359691523
67,35.555407802396154
68,35.585838071997756
69,35.535348369753315
70,35.60584007821691
71,35.54970537581054
72,35.64781971780014
73,35.53519706787655
74,35.60321372938791
75,35.64008945379059
76,35.59038077207659
77,35.59419951486851
78,35.5551811657056
79,35.55823426550308
80,35.527845382678635
81,35.56823845372598
82,35.51606338020754
83,35.565428798325016
84,35.5724762858695
85,35.52896453421516
86,35.60535265562313
87,35.53192248016009
88,35.53404394988294
89,35.55051310864328
90,35.52410642796083
91,35.563235486302595
92,35.540236164992464
93,35.55154077039798
94,35.59413020655758
95,35.56939562007343
96,35.52948555468838
97,35.545606536513226
98,35.609877418978876
99,35.578439531618486
100,35.55729248729178
101,35.519559399928944
102,35.59042154825811
103,35.54540925037443
104,35.57802930739637
105,35.525217985043504
106,35.55185081228145
107,35.57606167725311
108,35.508896382042224
109,35.57510966671748
110,35.59425269227445
111,35.58354460481037
112,35.52931087415769
113,35.60430462107497
114,35.599784622974155
115,35.5333701357992
116,35.594436388543286
117,35.58724549787969
118,35.58712066123745
119,35.53479272280708
120,35.57468663626124
121,35.573208847793914
122,35.54269881131112
123,35.54037597208296
124,35.51665631223224
125,35.52472133210054
126,35.591610960800786
127,35.56535124840927
128,35.513793968848006
129,35.54995161665235
130,35.5543164567744
131,35.55255719943416
132,35.59281504892884
133,35.54711964572362
134,35.57509729226919
135,35.53107288260779
136,35.588937816430295
137,35.609486482815846
138,35.52901903036759
139,35.56706893665484
140,35.55269332886441
141,35.58729295311395
142,35.53691308856942
143,35.52753490550298
144,35.57847518469854
145,35.555484228215256
146,35.5941745159077
147,35.621463157156796
148,35.57840978646465
149,35.576637386361156
150,35.582148599844615
151,35.60058023358284
152,35.54056341381518
153,35.57425438828535
154,35.52727827935346
155,35.521903305226324
156,35.5712701678326
157,35.539591652814714
158,35.60285776797761
159,35.56042547706217
160,35.58415165806201
161,35.57251176347866
162,35.59840565143261
163,35.545191104579956
164,35.58528261112929
165,35.600518153099195
166,35.576536032925816
167,35.61920921761622
168,35.60768782844528
169,35.61479212431815
170,35.52321008293506
171,35.56825377572459
172,35.566760373121575
173,35.54479954817557
174,35.59944679798853
175,35.546099536774925
176,35.529981336226356
177,35.61404130676842
178,35.54010152874099
179,35.54279849756409
180,35.63624840610046
181,35.582523097271014
182,35.583379166967624
183,35.55068204882838
