frame,time_ps,n_coordination_water
0,0.0009999999119200186,498
1,0.001999999823840037,544
2,0.002999999735760056,518
3,0.003999999647680074,488
4,0.004999999559600093,516
5,0.005999999471520112,522
6,0.00699999938344013,531
7,0.007999999295360148,511
8,0.008999999207280167,504
9,0.009999999119200185,530
10,0.010999999031120204,580
11,0.011999998943040224,513
12,0.012999998854960242,521
13,0.01399999876688026,529
14,0.014999998678800279,524
15,0.015999998590720297,516
16,0.016999998502640317,494
17,0.017999998414560334,538
18,0.018999998326480354,499
19,0.01999999823840037,501
20,0.02099999815032039,518
21,0.021999998062240407,499
22,0.022999997974160427,507
23,0.023999997886080447,495
24,0.024999997798000464,468
25,0.025999997709920484,534
26,0.0269999976218405,479
27,0.02799999753376052,561
28,0.028999997445680537,468
29,0.029999997357600557,485
30,0.030999997269520574,533
31,0.031999997181440594,524
32,0.032999997093360614,525
33,0.033999997005280634,555
34,0.03499999691720065,518
35,0.03599999682912067,498
36,0.03699999674104069,515
37,0.03799999665296071,509
38,0.03899999656488072,521
39,0.03999999647680074,514
40,0.04099999638872076,485
41,0.04199999630064078,507
42,0.0429999962125608,501
43,0.043999996124480814,502
44,0.044999996036400834,507
45,0.045999995948320854,543
46,0.046999995860240874,536
47,0.047999995772160894,490
48,0.04899999568408091,513
49,0.04999999559600093,524
50,0.05099999550792095,495
51,0.05199999541984097,501
52,0.05299999533176098,507
53,0.053999995243681,519
54,0.05499999515560102,511
55,0.05599999506752104,507
56,0.05699999497944106,534
57,0.057999994891361074,540
58,0.058999994803281094,504
59,0.059999994715201115,511
60,0.060999994627121135,499
61,0.06199999453904115,478
62,0.06299999445096117,508
63,0.06399999436288119,520
64,0.0649999942748012,530
65,0.06599999418672123,512
66,0.06699999409864124,539
67,0.06799999401056127,547
68,0.06899999392248128,512
69,0.0699999938344013,502
70,0.07099999374632132,493
71,0.07199999365824133,487
72,0.07299999357016136,492
73,0.07399999348208137,521
74,0.07499999339400139,497
75,0.07599999330592141,470
76,0.07699999321784143,501
77,0.07799999312976144,514
78,0.07899999304168147,497
79,0.07999999295360148,516
80,0.08099999286552151,539
81,0.08199999277744152,473
82,0.08299999268936153,527
83,0.08399999260128156,527
84,0.08499999251320157,517
85,0.0859999924251216,486
86,0.08699999233704162,540
87,0.08799999224896163,505
88,0.08899999216088166,491
89,0.08999999207280167,491
90,0.0909999919847217,487
91,0.09199999189664171,524
