# r[Å] g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 2.210036587559415042e-03
1.700000000000000178e+00 7.991195495174517605e-02
1.899999999999999911e+00 1.793647986210122336e-01
2.100000000000000089e+00 1.468515420733964849e-01
2.300000000000000266e+00 1.322490983680389420e-01
2.500000000000000000e+00 2.533585136166999763e-01
2.700000000000000178e+00 6.099429705300400961e-01
2.900000000000000355e+00 7.251761983155348146e-01
3.100000000000000089e+00 7.361878405872668285e-01
3.300000000000000266e+00 8.661140728959593194e-01
3.500000000000000000e+00 9.613477076077556749e-01
3.700000000000000178e+00 1.005202970432719667e+00
3.900000000000000355e+00 9.918902646706098114e-01
4.099999999999999645e+00 9.941844706875523352e-01
4.300000000000000711e+00 1.026893306926001781e+00
4.500000000000000000e+00 1.086416199869242316e+00
4.700000000000001066e+00 1.142868052211079233e+00
4.900000000000000355e+00 1.165164701587138696e+00
5.099999999999999645e+00 1.212351600320714873e+00
5.300000000000000711e+00 1.234672175256281701e+00
5.500000000000000000e+00 1.263392050862159888e+00
5.700000000000001066e+00 1.274931487754211057e+00
5.900000000000000355e+00 1.289631620919260646e+00
6.099999999999999645e+00 1.289486157526868126e+00
6.300000000000000711e+00 1.297782289763982577e+00
6.500000000000000000e+00 1.333443503070609992e+00
6.700000000000001066e+00 1.356861288238168983e+00
6.900000000000000355e+00 1.373480403938871719e+00
7.099999999999999645e+00 1.403937536846731282e+00
7.300000000000000711e+00 1.420083776374868378e+00
7.500000000000000000e+00 1.437909086397039404e+00
7.700000000000001066e+00 1.450922707366820497e+00
7.900000000000000355e+00 1.461738244266901798e+00
8.100000000000001421e+00 1.461174925350336551e+00
8.300000000000000711e+00 1.462840258949095196e+00
8.500000000000000000e+00 1.469831986567733839e+00
8.699999999999999289e+00 1.472790594099188555e+00
8.900000000000000355e+00 1.488551179654330703e+00
9.100000000000001421e+00 1.491398944125306825e+00
9.300000000000000711e+00 1.501115944864484852e+00
9.500000000000000000e+00 1.500408965285789931e+00
9.700000000000001066e+00 1.501333835199628375e+00
9.900000000000000355e+00 1.503515030111283401e+00
1.010000000000000142e+01 1.511844653003160621e+00
1.030000000000000071e+01 1.516683248073063206e+00
1.050000000000000000e+01 1.515865519562006547e+00
1.070000000000000107e+01 1.514837736752809194e+00
1.090000000000000036e+01 1.517312901106665057e+00
1.110000000000000142e+01 1.521664803416454159e+00
1.130000000000000071e+01 1.529084092589542365e+00
1.150000000000000000e+01 1.524248289816427127e+00
1.170000000000000107e+01 1.531589519430983204e+00
1.190000000000000036e+01 1.529828752018476568e+00
1.210000000000000142e+01 1.533692420623094188e+00
1.230000000000000071e+01 1.532712585305120223e+00
1.250000000000000000e+01 1.536819349655035749e+00
1.270000000000000107e+01 1.543680425123390876e+00
1.290000000000000036e+01 1.542395125897503494e+00
1.310000000000000142e+01 1.545795063155110283e+00
1.330000000000000071e+01 1.547651005788373890e+00
1.350000000000000000e+01 1.546244454373521204e+00
1.370000000000000107e+01 1.550248520572508504e+00
1.390000000000000036e+01 1.552094858339790662e+00
1.410000000000000142e+01 1.556498297693910571e+00
1.430000000000000071e+01 1.552998097298216695e+00
1.450000000000000000e+01 1.551279886173654976e+00
1.470000000000000107e+01 1.552845880147629920e+00
1.490000000000000036e+01 1.552452361564672145e+00
1.510000000000000142e+01 1.558199231493902381e+00
1.530000000000000071e+01 1.557437054291804790e+00
1.550000000000000000e+01 1.556138847398295333e+00
1.570000000000000107e+01 1.557451579164663924e+00
1.590000000000000036e+01 1.556757035440790249e+00
1.610000000000000142e+01 1.561039328782150015e+00
1.630000000000000071e+01 1.558367700502187203e+00
1.650000000000000000e+01 1.559967761073484116e+00
1.670000000000000284e+01 1.560116099693075853e+00
1.689999999999999858e+01 1.557499036096556599e+00
1.710000000000000142e+01 1.562727182945389925e+00
1.730000000000000071e+01 1.561230162267443822e+00
1.750000000000000000e+01 1.563934398711123386e+00
1.770000000000000284e+01 1.561931114166646761e+00
1.789999999999999858e+01 1.563636286065584580e+00
1.810000000000000142e+01 1.564691834036995299e+00
1.830000000000000071e+01 1.566800121031561632e+00
1.850000000000000000e+01 1.565710268164899333e+00
1.870000000000000284e+01 1.562715403636246503e+00
1.889999999999999858e+01 1.565474727141488165e+00
1.910000000000000142e+01 1.564391026829023312e+00
1.930000000000000426e+01 1.565149145392369157e+00
1.950000000000000000e+01 1.563187972754735755e+00
1.970000000000000284e+01 1.564528655476119301e+00
1.989999999999999858e+01 1.564091504742770589e+00
2.010000000000000142e+01 1.559709791965106618e+00
2.030000000000000426e+01 1.563147879733251644e+00
2.050000000000000000e+01 1.562226465574216405e+00
2.070000000000000284e+01 1.560426041442798173e+00
2.089999999999999858e+01 1.561240332789306517e+00
2.110000000000000142e+01 1.555735275497734715e+00
2.130000000000000426e+01 1.560887856997624556e+00
2.150000000000000000e+01 1.556872537617774999e+00
2.170000000000000284e+01 1.556735427810171490e+00
2.189999999999999858e+01 1.555300839930805035e+00
2.210000000000000142e+01 1.554863196712142459e+00
2.230000000000000426e+01 1.553708872857882506e+00
2.250000000000000000e+01 1.550021175721006728e+00
2.270000000000000284e+01 1.550242001272363224e+00
2.289999999999999858e+01 1.550481869399009893e+00
2.310000000000000142e+01 1.551006338845870358e+00
2.330000000000000426e+01 1.548449950829680954e+00
2.350000000000000000e+01 1.548580594110910758e+00
2.370000000000000284e+01 1.543103403213343272e+00
2.389999999999999858e+01 1.542056859300732219e+00
2.410000000000000142e+01 1.542985690182532510e+00
2.430000000000000426e+01 1.540769193608450438e+00
2.450000000000000000e+01 1.538325501086664548e+00
2.470000000000000284e+01 1.539118092253206616e+00
2.489999999999999858e+01 1.537137244384875645e+00
2.510000000000000142e+01 1.532984475244120404e+00
2.530000000000000426e+01 1.530978803879433636e+00
2.550000000000000000e+01 1.530916089360197629e+00
2.570000000000000284e+01 1.528630923287468413e+00
2.589999999999999858e+01 1.526369242834965778e+00
2.610000000000000142e+01 1.519634874976284689e+00
2.630000000000000426e+01 1.520647089917541495e+00
2.650000000000000000e+01 1.517689208831801473e+00
2.670000000000000284e+01 1.515872444403928432e+00
2.689999999999999858e+01 1.516232461210768045e+00
2.710000000000000142e+01 1.512548772272109154e+00
2.730000000000000426e+01 1.511761356575398896e+00
2.750000000000000000e+01 1.506142575669094708e+00
2.770000000000000284e+01 1.506416402274709743e+00
2.789999999999999858e+01 1.502718321974169990e+00
2.810000000000000142e+01 1.501438493377577066e+00
2.830000000000000426e+01 1.497236743509729573e+00
2.850000000000000000e+01 1.494473463823773329e+00
2.870000000000000284e+01 1.492705598219766783e+00
2.889999999999999858e+01 1.489334844676668990e+00
2.910000000000000142e+01 1.487861968890883624e+00
2.930000000000000426e+01 1.486366623915552410e+00
2.950000000000000000e+01 1.484995639633307940e+00
2.970000000000000284e+01 1.479406978729239874e+00
2.989999999999999858e+01 1.479046700194256214e+00
3.010000000000000142e+01 1.474872437772518197e+00
3.030000000000000426e+01 1.471624508656019792e+00
3.050000000000000000e+01 1.470242733549575798e+00
3.070000000000000284e+01 1.465684684273945493e+00
3.089999999999999858e+01 1.464552211385617309e+00
3.110000000000000142e+01 1.461003984642271103e+00
