# r[Å] g(r)
3.130000000000000426e+01 1.517547440031724149e+00
3.150000000000000000e+01 1.513193775851139566e+00
3.170000000000000284e+01 1.508398266774014562e+00
3.189999999999999858e+01 1.503400886314502749e+00
3.210000000000000142e+01 1.499149509869248442e+00
3.229999999999999716e+01 1.494994228944084957e+00
3.250000000000000000e+01 1.491852099003138532e+00
3.270000000000000284e+01 1.486523184437769096e+00
3.290000000000000568e+01 1.479376972504970800e+00
3.310000000000000142e+01 1.476824135681404027e+00
3.329999999999999716e+01 1.470807823261043756e+00
3.350000000000000000e+01 1.463715369571456426e+00
3.370000000000000284e+01 1.460129055108739804e+00
3.390000000000000568e+01 1.453180193118615904e+00
3.410000000000000142e+01 1.450587682256133881e+00
3.429999999999999716e+01 1.445024872863119203e+00
3.450000000000000000e+01 1.438854059891035098e+00
3.470000000000000284e+01 1.432384543114563424e+00
3.490000000000000568e+01 1.428358540486724726e+00
3.510000000000000142e+01 1.422978273000397031e+00
3.529999999999999716e+01 1.417027686267748665e+00
3.550000000000000000e+01 1.409743277014760876e+00
3.570000000000000284e+01 1.404562315156767438e+00
3.590000000000000568e+01 1.397421790717014556e+00
3.610000000000000142e+01 1.393146976764209954e+00
3.629999999999999716e+01 1.386333865174234292e+00
3.650000000000000000e+01 1.380162359799560257e+00
3.670000000000000284e+01 1.374059580541710179e+00
3.690000000000000568e+01 1.367038708636438837e+00
3.710000000000000142e+01 1.362332260787585403e+00
3.729999999999999716e+01 1.356009098720604156e+00
3.750000000000000000e+01 1.349163555430219930e+00
3.770000000000000284e+01 1.342209322679400740e+00
3.790000000000000568e+01 1.335238169232103589e+00
3.810000000000000142e+01 1.327857634941976173e+00
3.830000000000000426e+01 1.321779570637445111e+00
3.850000000000000000e+01 1.316240701505046129e+00
3.870000000000000284e+01 1.310188564052431781e+00
3.890000000000000568e+01 1.300565207253313149e+00
3.910000000000000142e+01 1.296906223765581734e+00
3.930000000000000426e+01 1.288508491247116305e+00
3.950000000000000000e+01 1.282313299965892162e+00
3.970000000000000284e+01 1.275853951990636004e+00
3.990000000000000568e+01 1.268208667360890329e+00
