# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.300000000000000266e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00
2.700000000000000178e+00 0.000000000000000000e+00
2.900000000000000355e+00 0.000000000000000000e+00
3.100000000000000089e+00 0.000000000000000000e+00
3.300000000000000266e+00 0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.900000000000000355e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.300000000000000711e+00 0.000000000000000000e+00
4.500000000000000000e+00 4.316166328366980928e-03
4.700000000000001066e+00 3.956702868309855750e-03
4.900000000000000355e+00 3.640342394663782094e-03
5.099999999999999645e+00 2.016275751754826109e-02
5.300000000000000711e+00 1.555827397434607698e-02
5.500000000000000000e+00 1.155796677441946196e-02
5.700000000000001066e+00 2.421268357616122163e-02
5.900000000000000355e+00 2.259912289356768786e-02
6.099999999999999645e+00 2.818884981493128758e-02
6.300000000000000711e+00 4.404606417728879758e-02
6.500000000000000000e+00 4.344632051390916877e-02
6.700000000000001066e+00 4.673304415412735807e-02
6.900000000000000355e+00 7.343888717770329089e-02
7.099999999999999645e+00 9.190203718535837341e-02
7.300000000000000711e+00 8.037442481528214722e-02
7.500000000000000000e+00 1.087788494181702453e-01
7.700000000000001066e+00 1.385851417499904259e-01
7.900000000000000355e+00 1.288561444256849375e-01
8.100000000000001421e+00 1.398916782245252510e-01
8.300000000000000711e+00 1.865240425701665816e-01
8.500000000000000000e+00 1.899487533655556393e-01
8.699999999999999289e+00 1.963296866257175921e-01
8.900000000000000355e+00 2.725795982560174635e-01
9.100000000000001421e+00 2.638969832872893329e-01
9.300000000000000711e+00 2.688398750796975323e-01
9.500000000000000000e+00 3.244712629168929885e-01
9.700000000000001066e+00 2.898614249213992133e-01
9.900000000000000355e+00 3.451600223955278435e-01
1.010000000000000142e+01 3.504782343472577777e-01
1.030000000000000071e+01 3.724303138193844620e-01
1.050000000000000000e+01 4.083289607191363801e-01
1.070000000000000107e+01 4.245113193141898944e-01
1.090000000000000036e+01 4.819153975510156451e-01
1.110000000000000142e+01 4.767670674899347483e-01
1.130000000000000071e+01 5.141222456139593611e-01
1.150000000000000000e+01 4.977176388295612708e-01
1.170000000000000107e+01 5.842967602320405796e-01
1.190000000000000036e+01 5.777851640157186663e-01
1.210000000000000142e+01 6.137721372431944600e-01
1.230000000000000071e+01 6.286425696866950741e-01
1.250000000000000000e+01 6.495276025162993738e-01
1.270000000000000107e+01 6.807190506657482265e-01
1.290000000000000036e+01 7.138813229020831708e-01
1.310000000000000142e+01 7.503197925226309239e-01
1.330000000000000071e+01 7.570803642174926962e-01
1.350000000000000000e+01 7.880554305752452970e-01
1.370000000000000107e+01 7.819815955127854545e-01
1.390000000000000036e+01 8.460561687058396618e-01
1.410000000000000142e+01 8.938950959104614569e-01
1.430000000000000071e+01 8.831731267303255528e-01
1.450000000000000000e+01 8.814296470234996850e-01
1.470000000000000107e+01 9.134341656073685645e-01
1.490000000000000036e+01 9.548328858936068197e-01
1.510000000000000142e+01 9.895151406847229048e-01
1.530000000000000071e+01 9.847268208353285868e-01
1.550000000000000000e+01 1.006779630294038164e+00
1.570000000000000107e+01 1.007536385058414252e+00
1.590000000000000036e+01 1.036290342725068037e+00
1.610000000000000142e+01 1.091304281077451588e+00
1.630000000000000071e+01 1.104170087156175040e+00
1.650000000000000000e+01 1.138250151042587976e+00
1.670000000000000284e+01 1.116165317233986931e+00
1.689999999999999858e+01 1.144689784857504389e+00
1.710000000000000142e+01 1.173076973487112706e+00
1.730000000000000071e+01 1.191382852351215549e+00
1.750000000000000000e+01 1.217398869090820623e+00
1.770000000000000284e+01 1.242220479985479020e+00
1.789999999999999858e+01 1.253357873701251401e+00
1.810000000000000142e+01 1.227413642213648348e+00
1.830000000000000071e+01 1.271731592642026953e+00
1.850000000000000000e+01 1.266349311797502430e+00
1.870000000000000284e+01 1.278153821089434983e+00
1.889999999999999858e+01 1.277186498111611668e+00
1.910000000000000142e+01 1.279573499722052254e+00
1.930000000000000426e+01 1.313738939124295735e+00
1.950000000000000000e+01 1.294285387117525721e+00
1.970000000000000284e+01 1.314089439391686209e+00
1.989999999999999858e+01 1.263968404897898523e+00
2.010000000000000142e+01 1.273992250144343696e+00
2.030000000000000426e+01 1.273407599789533995e+00
2.050000000000000000e+01 1.255962361418276885e+00
2.070000000000000284e+01 1.241398442051968809e+00
2.089999999999999858e+01 1.240367471505418706e+00
2.110000000000000142e+01 1.255252875963051684e+00
2.130000000000000426e+01 1.211945053811556594e+00
2.150000000000000000e+01 1.180235881336614279e+00
2.170000000000000284e+01 1.179186857845189174e+00
2.189999999999999858e+01 1.179254970491450560e+00
2.210000000000000142e+01 1.173400087785945178e+00
2.230000000000000426e+01 1.162115256765725135e+00
2.250000000000000000e+01 1.125834058737058552e+00
2.270000000000000284e+01 1.135092329645619236e+00
2.289999999999999858e+01 1.126187230079214840e+00
2.310000000000000142e+01 1.129705551526331009e+00
2.330000000000000426e+01 1.079317934613252206e+00
2.350000000000000000e+01 1.101389067580315739e+00
2.370000000000000284e+01 1.070739567763944189e+00
2.389999999999999858e+01 1.070646612892207639e+00
2.410000000000000142e+01 1.072666861743984956e+00
2.430000000000000426e+01 1.055082556154866680e+00
2.450000000000000000e+01 1.053946764615766751e+00
2.470000000000000284e+01 1.066177978307284890e+00
2.489999999999999858e+01 1.004848092824468964e+00
2.510000000000000142e+01 1.010544056258383172e+00
2.530000000000000426e+01 9.791980377965767701e-01
2.550000000000000000e+01 9.942806742814279675e-01
2.570000000000000284e+01 9.905126428624342338e-01
2.589999999999999858e+01 9.567696198600783575e-01
2.610000000000000142e+01 9.325383550100828645e-01
2.630000000000000426e+01 9.589774944843834081e-01
2.650000000000000000e+01 9.390799177627090488e-01
2.670000000000000284e+01 9.191781822303400906e-01
2.689999999999999858e+01 9.041113078711735529e-01
2.710000000000000142e+01 8.997429973754086374e-01
2.730000000000000426e+01 8.793362099211501359e-01
2.750000000000000000e+01 8.699445965001731951e-01
2.770000000000000284e+01 8.455790376041084633e-01
2.789999999999999858e+01 8.445050620745918613e-01
2.810000000000000142e+01 8.421580918553982498e-01
2.830000000000000426e+01 8.220015791059596122e-01
2.850000000000000000e+01 8.155635009576407413e-01
2.870000000000000284e+01 7.908643115817683977e-01
2.889999999999999858e+01 8.132391595308869903e-01
2.910000000000000142e+01 7.840337780531742018e-01
2.930000000000000426e+01 7.761161136186088827e-01
2.950000000000000000e+01 7.577931359243091913e-01
2.970000000000000284e+01 7.668472569688008500e-01
2.989999999999999858e+01 7.549605168630945107e-01
3.010000000000000142e+01 7.497854402264291229e-01
3.030000000000000426e+01 7.461089959083042622e-01
3.050000000000000000e+01 7.491361211431670775e-01
3.070000000000000284e+01 7.274423999862495993e-01
3.089999999999999858e+01 7.313314734116570515e-01
3.110000000000000142e+01 7.309031795964688882e-01
