r,block_22,block_23,block_24,block_25,mean_last4
6.500000000000000000e+00,1.214252422703145484e+01,1.553910899062593565e+01,1.556739055106053549e+01,1.605333819880483759e+01,1.482559049188069089e+01
6.700000000000001066e+00,1.178865200383757994e+01,1.517059995595133159e+01,1.552411892898296841e+01,1.543442433378639755e+01,1.447944880563956893e+01
6.900000000000000355e+00,1.171547944166946742e+01,1.497967068197969276e+01,1.506681111629226777e+01,1.498223659905801419e+01,1.418604945974986009e+01
7.099999999999999645e+00,1.147742407922166485e+01,1.501479195951091050e+01,1.483330561697656158e+01,1.470141325774077146e+01,1.400673372836247665e+01
7.300000000000000711e+00,1.174444888485736627e+01,1.469389191550178175e+01,1.482053837584810907e+01,1.455636899697914011e+01,1.395381204329659930e+01
7.500000000000000000e+00,1.116531047603159088e+01,1.464184797902004398e+01,1.478957341931781500e+01,1.407164121172215943e+01,1.366709327152290321e+01
7.700000000000001066e+00,1.134759674142481778e+01,1.415950967005667493e+01,1.451478658655221565e+01,1.398548260723494963e+01,1.350184390131716405e+01
7.900000000000000355e+00,1.125087508489932731e+01,1.411145257027926547e+01,1.420370456935541803e+01,1.366304739296339044e+01,1.330726990437435120e+01
8.100000000000001421e+00,1.103785489633943229e+01,1.398686062150573584e+01,1.411173621597416350e+01,1.340962442898553952e+01,1.313651904070121645e+01
8.300000000000000711e+00,1.089421941558749651e+01,1.393642534936807564e+01,1.393210773267748692e+01,1.304267908247581431e+01,1.295135789502721835e+01
8.500000000000000000e+00,1.051704183434568307e+01,1.370337285738477284e+01,1.367009617877735295e+01,1.280871929725096692e+01,1.267480754193969439e+01
8.699999999999999289e+00,1.074807274086941256e+01,1.360613611278991364e+01,1.358229156480847166e+01,1.279238669609761736e+01,1.268222177864135425e+01
8.900000000000000355e+00,1.039955899884462376e+01,1.322557071471050705e+01,1.315858223248707759e+01,1.225482546654017213e+01,1.225963435314559646e+01
9.100000000000001421e+00,1.016384128128734865e+01,1.301063745813933004e+01,1.295172646111618953e+01,1.194055617373799905e+01,1.201669034357021815e+01
9.300000000000000711e+00,1.005073155493935211e+01,1.299987736260043647e+01,1.292915787415096673e+01,1.171343806210007266e+01,1.192330121344770788e+01
9.500000000000000000e+00,9.625233925147320235e+00,1.261134852408828522e+01,1.274204733809059498e+01,1.155566750986508495e+01,1.163357432429782179e+01
9.700000000000001066e+00,9.699663947292739508e+00,1.238749814792745063e+01,1.255085653637651433e+01,1.147233750926379692e+01,1.152758903521512579e+01
9.900000000000000355e+00,9.449060800238902047e+00,1.224886327639412897e+01,1.221920866454832399e+01,1.116331366354019217e+01,1.127011160118038724e+01
1.010000000000000142e+01,9.385289019315523618e+00,1.198797522340555766e+01,1.225071144164762416e+01,1.103659240377818662e+01,1.116514202203672212e+01
1.030000000000000071e+01,8.983169646296190081e+00,1.174698133221548524e+01,1.213547326126065684e+01,1.081893463994703275e+01,1.092113971992984034e+01
1.050000000000000000e+01,8.816251391970912010e+00,1.164076384024244248e+01,1.169898974586862472e+01,1.074286979279449028e+01,1.072471869271911871e+01
1.070000000000000107e+01,8.628700227901994424e+00,1.154642304764029248e+01,1.178101582939710390e+01,1.042213125316140143e+01,1.059456758952519806e+01
1.090000000000000036e+01,8.552576973782784364e+00,1.105301647754177274e+01,1.153509451604487879e+01,1.050441024731144779e+01,1.041127455367022137e+01
1.110000000000000142e+01,8.418119542840138081e+00,1.105424337783666289e+01,1.162467530640192592e+01,1.039103768014221352e+01,1.037201897680523466e+01
1.130000000000000071e+01,8.157686479567232141e+00,1.085743757608820026e+01,1.152483891811183625e+01,1.021401667370765765e+01,1.018849491186873202e+01
1.150000000000000000e+01,8.095828787701940144e+00,1.059942738710850918e+01,1.129268440960987974e+01,1.006869034444635602e+01,1.001415773221667038e+01
1.170000000000000107e+01,7.681592796740878804e+00,1.026698317929185933e+01,1.121382340728495741e+01,9.994922266789185272e+00,9.789330412526719982e+00
1.190000000000000036e+01,7.756384375506632622e+00,1.024828263499125569e+01,1.113939443955502284e+01,1.005986392988955203e+01,9.800981344985615351e+00
1.210000000000000142e+01,7.724172034570631951e+00,9.936786163966230490e+00,1.108401442060779729e+01,9.898398410432969641e+00,9.660842757394407343e+00
1.230000000000000071e+01,7.595191435818568593e+00,9.886136481017034683e+00,1.103960357470446141e+01,9.763981624497519718e+00,9.571228279009396545e+00
1.250000000000000000e+01,7.316057365218364694e+00,9.566722430431639168e+00,1.095094546351724674e+01,9.771748068627207573e+00,9.401368331948614099e+00
1.270000000000000107e+01,7.184990637623577037e+00,9.506284337320259681e+00,1.075885506289672122e+01,9.619212512346155819e+00,9.267335637546679550e+00
1.290000000000000036e+01,7.191878496321752579e+00,9.157592933926880008e+00,1.078550088281949115e+01,9.589534288051378752e+00,9.181126650279875179e+00
