# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 3.020879365944365708e-02
1.899999999999999911e+00 4.837865848043745864e-02
2.100000000000000089e+00 8.119868192993046074e-01
2.300000000000000266e+00 1.453065802823011010e+00
2.500000000000000000e+00 3.228733901422035757e+00
2.700000000000000178e+00 4.565945947681572470e+00
2.900000000000000355e+00 5.744984862007768811e+00
3.100000000000000089e+00 6.418928718743523554e+00
3.300000000000000266e+00 7.606404157216780426e+00
3.500000000000000000e+00 8.752299446104256475e+00
3.700000000000000178e+00 9.421260894615889114e+00
3.900000000000000355e+00 9.755401721753358402e+00
4.099999999999999645e+00 1.096883453834215238e+01
4.300000000000000711e+00 1.135245158924760567e+01
4.500000000000000000e+00 1.210077963158285641e+01
4.700000000000001066e+00 1.216510126077563037e+01
4.900000000000000355e+00 1.216790416055744473e+01
5.099999999999999645e+00 1.264022016353739453e+01
5.300000000000000711e+00 1.280260718660107777e+01
5.500000000000000000e+00 1.261658484558902771e+01
5.700000000000001066e+00 1.238972083717734662e+01
5.900000000000000355e+00 1.231222961738144761e+01
6.099999999999999645e+00 1.254926973893312869e+01
6.300000000000000711e+00 1.220339878332486627e+01
6.500000000000000000e+00 1.214252422703145484e+01
6.700000000000001066e+00 1.178865200383757994e+01
6.900000000000000355e+00 1.171547944166946742e+01
7.099999999999999645e+00 1.147742407922166485e+01
7.300000000000000711e+00 1.174444888485736627e+01
7.500000000000000000e+00 1.116531047603159088e+01
7.700000000000001066e+00 1.134759674142481778e+01
7.900000000000000355e+00 1.125087508489932731e+01
8.100000000000001421e+00 1.103785489633943229e+01
8.300000000000000711e+00 1.089421941558749651e+01
8.500000000000000000e+00 1.051704183434568307e+01
8.699999999999999289e+00 1.074807274086941256e+01
8.900000000000000355e+00 1.039955899884462376e+01
9.100000000000001421e+00 1.016384128128734865e+01
9.300000000000000711e+00 1.005073155493935211e+01
9.500000000000000000e+00 9.625233925147320235e+00
9.700000000000001066e+00 9.699663947292739508e+00
9.900000000000000355e+00 9.449060800238902047e+00
1.010000000000000142e+01 9.385289019315523618e+00
1.030000000000000071e+01 8.983169646296190081e+00
1.050000000000000000e+01 8.816251391970912010e+00
1.070000000000000107e+01 8.628700227901994424e+00
1.090000000000000036e+01 8.552576973782784364e+00
1.110000000000000142e+01 8.418119542840138081e+00
1.130000000000000071e+01 8.157686479567232141e+00
1.150000000000000000e+01 8.095828787701940144e+00
1.170000000000000107e+01 7.681592796740878804e+00
1.190000000000000036e+01 7.756384375506632622e+00
1.210000000000000142e+01 7.724172034570631951e+00
1.230000000000000071e+01 7.595191435818568593e+00
1.250000000000000000e+01 7.316057365218364694e+00
1.270000000000000107e+01 7.184990637623577037e+00
1.290000000000000036e+01 7.191878496321752579e+00
1.310000000000000142e+01 7.160875893934823821e+00
1.330000000000000071e+01 7.003462634234078443e+00
1.350000000000000000e+01 6.963905971332597034e+00
1.370000000000000107e+01 6.892922663430947949e+00
1.390000000000000036e+01 6.753446724006523461e+00
1.410000000000000142e+01 6.767649037742863527e+00
1.430000000000000071e+01 6.784404214717861592e+00
1.450000000000000000e+01 6.671706619859775422e+00
1.470000000000000107e+01 6.680290653990498484e+00
1.490000000000000036e+01 6.634045936237892960e+00
1.510000000000000142e+01 6.595941091870384021e+00
1.530000000000000071e+01 6.534025968088963410e+00
1.550000000000000000e+01 6.655716963199700409e+00
1.570000000000000107e+01 6.621971173530293520e+00
1.590000000000000036e+01 6.553233868878329815e+00
1.610000000000000142e+01 6.545529717926838131e+00
1.630000000000000071e+01 6.598402788125737217e+00
1.650000000000000000e+01 6.523525300636531910e+00
1.670000000000000284e+01 6.626449160508466107e+00
1.689999999999999858e+01 6.536334828371074934e+00
1.710000000000000142e+01 6.564873217176272036e+00
1.730000000000000071e+01 6.603786023591331045e+00
1.750000000000000000e+01 6.543606903310920764e+00
1.770000000000000284e+01 6.560608937222603743e+00
1.789999999999999858e+01 6.604955184141983793e+00
1.810000000000000142e+01 6.576117879444204561e+00
1.830000000000000071e+01 6.483535728911581586e+00
1.850000000000000000e+01 6.477673189616976579e+00
1.870000000000000284e+01 6.400592252363406232e+00
1.889999999999999858e+01 6.431743196546372943e+00
1.910000000000000142e+01 6.322191199792726479e+00
1.930000000000000426e+01 6.313153444156194283e+00
1.950000000000000000e+01 6.252126080700616484e+00
1.970000000000000284e+01 6.121770987991456359e+00
1.989999999999999858e+01 6.083871627126932857e+00
2.010000000000000142e+01 5.917106208948117896e+00
2.030000000000000426e+01 5.851355462725310375e+00
2.050000000000000000e+01 5.771849165113201785e+00
2.070000000000000284e+01 5.655144077074083953e+00
2.089999999999999858e+01 5.525619993544203190e+00
2.110000000000000142e+01 5.429807878234698570e+00
2.130000000000000426e+01 5.399407047251633784e+00
2.150000000000000000e+01 5.235700041111932990e+00
2.170000000000000284e+01 5.117546876763060304e+00
2.189999999999999858e+01 4.951060961116737325e+00
2.210000000000000142e+01 4.893172252232911745e+00
2.230000000000000426e+01 4.737601769059089030e+00
2.250000000000000000e+01 4.567600789506470527e+00
2.270000000000000284e+01 4.483229013148968711e+00
2.289999999999999858e+01 4.399761676534362564e+00
2.310000000000000142e+01 4.221368870130276285e+00
2.330000000000000426e+01 4.115723148583499302e+00
2.350000000000000000e+01 3.954962630966881054e+00
2.370000000000000284e+01 3.876823630811839116e+00
2.389999999999999858e+01 3.719484426400072596e+00
2.410000000000000142e+01 3.588482356049427668e+00
2.430000000000000426e+01 3.512485924941324722e+00
2.450000000000000000e+01 3.373539637396031132e+00
2.470000000000000284e+01 3.239474387816799528e+00
2.489999999999999858e+01 3.140700456435528309e+00
2.510000000000000142e+01 3.058385426769094195e+00
2.530000000000000426e+01 2.921192926826412073e+00
2.550000000000000000e+01 2.863990492544113309e+00
2.570000000000000284e+01 2.729205983685405901e+00
2.589999999999999858e+01 2.688652286861508145e+00
2.610000000000000142e+01 2.551759996102724415e+00
2.630000000000000426e+01 2.517267674157753099e+00
2.650000000000000000e+01 2.417183561871943276e+00
2.670000000000000284e+01 2.345919306486529354e+00
2.689999999999999858e+01 2.289423671566365837e+00
2.710000000000000142e+01 2.241474829663303137e+00
2.730000000000000426e+01 2.161022320437187449e+00
2.750000000000000000e+01 2.107397700210265068e+00
2.770000000000000284e+01 2.045522264933906875e+00
2.789999999999999858e+01 1.961169103683016335e+00
2.810000000000000142e+01 1.934237110280287997e+00
2.830000000000000426e+01 1.890297397067014717e+00
2.850000000000000000e+01 1.840401788551521145e+00
2.870000000000000284e+01 1.789586305573824587e+00
2.889999999999999858e+01 1.765112048273225209e+00
2.910000000000000142e+01 1.712651814055482280e+00
2.930000000000000426e+01 1.672042911835973644e+00
2.950000000000000000e+01 1.630264951103582938e+00
2.970000000000000284e+01 1.606598962249589535e+00
2.989999999999999858e+01 1.557607949565997796e+00
3.010000000000000142e+01 1.532732955578105294e+00
3.030000000000000426e+01 1.488479661963085343e+00
3.050000000000000000e+01 1.475035958808852188e+00
3.070000000000000284e+01 1.456807289775719605e+00
3.089999999999999858e+01 1.418145745873484520e+00
3.110000000000000142e+01 1.374210062776583641e+00
