# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 0.000000000000000000e+00
2.100000000000000089e+00 1.980553714711336469e-02
2.300000000000000266e+00 0.000000000000000000e+00
2.500000000000000000e+00 1.397789508676874903e-02
2.700000000000000178e+00 1.198470346562070278e-02
2.900000000000000355e+00 4.155710171597171848e-02
3.100000000000000089e+00 2.727725157709232767e-02
3.300000000000000266e+00 4.012015174843654164e-02
3.500000000000000000e+00 8.560129874682745332e-02
3.700000000000000178e+00 8.936597774072381484e-02
3.900000000000000355e+00 4.596412126692053790e-02
4.099999999999999645e+00 1.195714149888771755e-01
4.300000000000000711e+00 9.452967261275445343e-02
4.500000000000000000e+00 1.122096462725857835e-01
4.700000000000001066e+00 1.028644856294854970e-01
4.900000000000000355e+00 1.201198679944033426e-01
5.099999999999999645e+00 1.243251734703729461e-01
5.300000000000000711e+00 1.368997831089506512e-01
5.500000000000000000e+00 1.791314382252360837e-01
5.700000000000001066e+00 1.614025308747111809e-01
5.900000000000000355e+00 1.883081040509734794e-01
6.099999999999999645e+00 1.949543253467020398e-01
6.300000000000000711e+00 1.893800538897309482e-01
6.500000000000000000e+00 2.213482830985528671e-01
6.700000000000001066e+00 2.511662104676552487e-01
6.900000000000000355e+00 2.166241024620433053e-01
7.099999999999999645e+00 2.618091912588925707e-01
7.300000000000000711e+00 2.706228199373524324e-01
7.500000000000000000e+00 2.594905610052108957e-01
7.700000000000001066e+00 3.213690014529811401e-01
7.900000000000000355e+00 2.716925362881315587e-01
8.100000000000001421e+00 3.037358824260001922e-01
8.300000000000000711e+00 3.451000813680892287e-01
8.500000000000000000e+00 3.435688713742854339e-01
8.699999999999999289e+00 3.614432032856043642e-01
8.900000000000000355e+00 3.486921332165427989e-01
9.100000000000001421e+00 3.430334340043010299e-01
9.300000000000000711e+00 3.708828789918144908e-01
9.500000000000000000e+00 3.738328053092142556e-01
9.700000000000001066e+00 3.985215345547633015e-01
9.900000000000000355e+00 3.763402312315471954e-01
1.010000000000000142e+01 3.958570581114702058e-01
1.030000000000000071e+01 4.127651163306490512e-01
1.050000000000000000e+01 4.027405321336071098e-01
1.070000000000000107e+01 3.901162639571353896e-01
1.090000000000000036e+01 4.281649968683907681e-01
1.110000000000000142e+01 4.015245279042407023e-01
1.130000000000000071e+01 4.175562290251307873e-01
1.150000000000000000e+01 4.018373565664127844e-01
1.170000000000000107e+01 4.099265856468201630e-01
1.190000000000000036e+01 4.308287064678282818e-01
1.210000000000000142e+01 4.101374857155198339e-01
1.230000000000000071e+01 4.327283831827983818e-01
1.250000000000000000e+01 4.738135487629698828e-01
1.270000000000000107e+01 4.936911198543216250e-01
1.290000000000000036e+01 4.785018409484615431e-01
1.310000000000000142e+01 4.772455853908578738e-01
1.330000000000000071e+01 4.931424986887142925e-01
1.350000000000000000e+01 5.438647735984767362e-01
1.370000000000000107e+01 5.057481861280288538e-01
1.390000000000000036e+01 5.134665118427528263e-01
1.410000000000000142e+01 5.416497622088145558e-01
1.430000000000000071e+01 5.689213829998974736e-01
1.450000000000000000e+01 5.529197551064551908e-01
1.470000000000000107e+01 5.497072233818043330e-01
1.490000000000000036e+01 5.921369121809262337e-01
1.510000000000000142e+01 6.233237194198724129e-01
1.530000000000000071e+01 6.392460754245657961e-01
1.550000000000000000e+01 6.133967974660584632e-01
1.570000000000000107e+01 6.446768227712835753e-01
1.590000000000000036e+01 6.427362147142114956e-01
1.610000000000000142e+01 6.777851920861100998e-01
1.630000000000000071e+01 6.882312344353284095e-01
1.650000000000000000e+01 7.082484914688353950e-01
1.670000000000000284e+01 7.437259943674133789e-01
1.689999999999999858e+01 7.623398204600686512e-01
1.710000000000000142e+01 7.813790583167919968e-01
1.730000000000000071e+01 8.142337165053715742e-01
1.750000000000000000e+01 7.845981346756201180e-01
1.770000000000000284e+01 8.241622027697907971e-01
1.789999999999999858e+01 8.295817623780580297e-01
1.810000000000000142e+01 8.724479769615072211e-01
1.830000000000000071e+01 8.720137425016988297e-01
1.850000000000000000e+01 9.091921287417721320e-01
1.870000000000000284e+01 9.165937950132296841e-01
1.889999999999999858e+01 9.225014236037639703e-01
1.910000000000000142e+01 9.140652430676595719e-01
1.930000000000000426e+01 9.679631056391181376e-01
1.950000000000000000e+01 9.640704072773579325e-01
1.970000000000000284e+01 9.603606775291725350e-01
1.989999999999999858e+01 9.566045768337830824e-01
2.010000000000000142e+01 1.011221665525093183e+00
2.030000000000000426e+01 9.863038308467222404e-01
2.050000000000000000e+01 9.973114393018585044e-01
2.070000000000000284e+01 9.954721362600613688e-01
2.089999999999999858e+01 9.825144845047522058e-01
2.110000000000000142e+01 9.912668079860191828e-01
2.130000000000000426e+01 9.987480651506344120e-01
2.150000000000000000e+01 9.925442483083080081e-01
2.170000000000000284e+01 9.873265237788941828e-01
2.189999999999999858e+01 9.859601741599520741e-01
2.210000000000000142e+01 1.022242759657301603e+00
2.230000000000000426e+01 1.031057242661456153e+00
2.250000000000000000e+01 9.945072270325971964e-01
2.270000000000000284e+01 1.014548082672628082e+00
2.289999999999999858e+01 9.844033279441661843e-01
2.310000000000000142e+01 9.895449318805136230e-01
2.330000000000000426e+01 9.884085205876871338e-01
2.350000000000000000e+01 9.776707254884291487e-01
2.370000000000000284e+01 9.830259066727424777e-01
2.389999999999999858e+01 9.749057337916939847e-01
2.410000000000000142e+01 9.760986734205860937e-01
2.430000000000000426e+01 9.931072419968570708e-01
2.450000000000000000e+01 9.589027290621401356e-01
2.470000000000000284e+01 9.547552713357195797e-01
2.489999999999999858e+01 9.614721332151340283e-01
2.510000000000000142e+01 9.527318026715566601e-01
2.530000000000000426e+01 9.453755878224672227e-01
2.550000000000000000e+01 9.539938475475057134e-01
2.570000000000000284e+01 9.386741914096836670e-01
2.589999999999999858e+01 9.413029221462024809e-01
2.610000000000000142e+01 9.365556316332354081e-01
2.630000000000000426e+01 9.222392995543061689e-01
2.650000000000000000e+01 9.103627991363104632e-01
2.670000000000000284e+01 9.016799816622871333e-01
2.689999999999999858e+01 9.001598568943984802e-01
2.710000000000000142e+01 8.803764599363107513e-01
2.730000000000000426e+01 8.746785943841329791e-01
2.750000000000000000e+01 8.813043260136949053e-01
2.770000000000000284e+01 8.616749173133927409e-01
2.789999999999999858e+01 8.534079451752893952e-01
2.810000000000000142e+01 8.625570446978437777e-01
2.830000000000000426e+01 8.270528797138784194e-01
2.850000000000000000e+01 8.089215470581575529e-01
2.870000000000000284e+01 8.165756570061573072e-01
2.889999999999999858e+01 7.981962505828849030e-01
2.910000000000000142e+01 8.008873244287314508e-01
2.930000000000000426e+01 7.746168373995404588e-01
2.950000000000000000e+01 7.722848605937798760e-01
2.970000000000000284e+01 7.450731289331047336e-01
2.989999999999999858e+01 7.464803864987515913e-01
3.010000000000000142e+01 7.290682556115863910e-01
3.030000000000000426e+01 7.286152139281448781e-01
3.050000000000000000e+01 7.117619347759926995e-01
3.070000000000000284e+01 6.848047386847482265e-01
3.089999999999999858e+01 6.795389289695800139e-01
3.110000000000000142e+01 6.574520421372328505e-01
