# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.300000000000000266e+00 0.000000000000000000e+00
2.500000000000000000e+00 0.000000000000000000e+00
2.700000000000000178e+00 0.000000000000000000e+00
2.900000000000000355e+00 0.000000000000000000e+00
3.100000000000000089e+00 0.000000000000000000e+00
3.300000000000000266e+00 0.000000000000000000e+00
3.500000000000000000e+00 0.000000000000000000e+00
3.700000000000000178e+00 0.000000000000000000e+00
3.900000000000000355e+00 0.000000000000000000e+00
4.099999999999999645e+00 0.000000000000000000e+00
4.300000000000000711e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.700000000000001066e+00 0.000000000000000000e+00
4.900000000000000355e+00 0.000000000000000000e+00
5.099999999999999645e+00 0.000000000000000000e+00
5.300000000000000711e+00 0.000000000000000000e+00
5.500000000000000000e+00 0.000000000000000000e+00
5.700000000000001066e+00 0.000000000000000000e+00
5.900000000000000355e+00 0.000000000000000000e+00
6.099999999999999645e+00 0.000000000000000000e+00
6.300000000000000711e+00 1.042853368515571193e-03
6.500000000000000000e+00 1.959340156560969003e-03
6.700000000000001066e+00 1.844119084093175966e-03
6.900000000000000355e+00 1.738770360162905518e-03
7.099999999999999645e+00 4.105493887954052290e-03
7.300000000000000711e+00 6.990535477267383578e-03
7.500000000000000000e+00 4.415133175734799881e-03
7.700000000000001066e+00 1.117004534498172198e-02
7.900000000000000355e+00 1.127489128972544372e-02
8.100000000000001421e+00 1.577207111395471581e-02
8.300000000000000711e+00 1.922709179374254909e-02
8.500000000000000000e+00 2.005168974579819505e-02
8.699999999999999289e+00 3.499960658737603925e-02
8.900000000000000355e+00 2.665095074593747115e-02
9.100000000000001421e+00 3.099076117217717738e-02
9.300000000000000711e+00 4.785840108017371669e-02
9.500000000000000000e+00 4.586459562817014196e-02
9.700000000000001066e+00 4.443276495467733678e-02
9.900000000000000355e+00 5.236936951173828264e-02
1.010000000000000142e+01 6.898152676408879358e-02
1.030000000000000071e+01 7.179109010494415244e-02
1.050000000000000000e+01 7.696671520190123683e-02
1.070000000000000107e+01 9.255514922395992328e-02
1.090000000000000036e+01 9.546104892732781844e-02
1.110000000000000142e+01 1.021307911842373184e-01
1.130000000000000071e+01 1.118385919321760458e-01
1.150000000000000000e+01 1.148683167105552516e-01
1.170000000000000107e+01 1.300250341453661196e-01
1.190000000000000036e+01 1.286143273092160977e-01
1.210000000000000142e+01 1.489946953777739058e-01
1.230000000000000071e+01 1.737379742288709950e-01
1.250000000000000000e+01 1.676931175543003305e-01
1.270000000000000107e+01 1.799046630675106284e-01
1.290000000000000036e+01 1.910354297859491735e-01
1.310000000000000142e+01 2.211867606550351750e-01
1.330000000000000071e+01 2.361133374819862352e-01
1.350000000000000000e+01 2.527903573116436209e-01
1.370000000000000107e+01 2.664151431064572528e-01
1.390000000000000036e+01 2.823703790005805403e-01
1.410000000000000142e+01 2.935718606451542811e-01
1.430000000000000071e+01 3.301532877181701520e-01
1.450000000000000000e+01 3.335119009355072550e-01
1.470000000000000107e+01 3.741120476135257333e-01
1.490000000000000036e+01 3.770013569550955124e-01
1.510000000000000142e+01 4.028449077152910229e-01
1.530000000000000071e+01 4.300464276737696045e-01
1.550000000000000000e+01 4.434860262253365604e-01
1.570000000000000107e+01 4.685326334082188238e-01
1.590000000000000036e+01 5.147820346529615732e-01
1.610000000000000142e+01 5.159652352578051326e-01
1.630000000000000071e+01 5.494973746251711200e-01
1.650000000000000000e+01 5.569350268462495146e-01
1.670000000000000284e+01 5.850854612303569846e-01
1.689999999999999858e+01 6.197264585327965092e-01
1.710000000000000142e+01 6.595327387411510367e-01
1.730000000000000071e+01 6.801932232882903495e-01
1.750000000000000000e+01 6.962280959790604351e-01
1.770000000000000284e+01 7.335658808464707858e-01
1.789999999999999858e+01 7.379355590171355894e-01
1.810000000000000142e+01 7.596232046787706471e-01
1.830000000000000071e+01 8.248128953364890492e-01
1.850000000000000000e+01 8.220730346896119034e-01
1.870000000000000284e+01 8.441194419157134199e-01
1.889999999999999858e+01 8.702681620810049923e-01
1.910000000000000142e+01 9.073967362717831886e-01
1.930000000000000426e+01 9.118027559355512679e-01
1.950000000000000000e+01 9.666755975058499706e-01
1.970000000000000284e+01 9.977046644406829534e-01
1.989999999999999858e+01 9.806780160015116099e-01
2.010000000000000142e+01 1.028983910869781360e+00
2.030000000000000426e+01 1.042961038140544527e+00
2.050000000000000000e+01 1.063094398357142811e+00
2.070000000000000284e+01 1.068057859462666848e+00
2.089999999999999858e+01 1.098129149045668829e+00
2.110000000000000142e+01 1.116739362585981388e+00
2.130000000000000426e+01 1.136741217923562086e+00
2.150000000000000000e+01 1.144167645628991981e+00
2.170000000000000284e+01 1.151655866500731040e+00
2.189999999999999858e+01 1.160924948000650270e+00
2.210000000000000142e+01 1.176366841080584313e+00
2.230000000000000426e+01 1.193817389186596856e+00
2.250000000000000000e+01 1.179883845204316994e+00
2.270000000000000284e+01 1.195414205712540090e+00
2.289999999999999858e+01 1.186544037892788728e+00
2.310000000000000142e+01 1.192229208502293192e+00
2.330000000000000426e+01 1.191674104618945851e+00
2.350000000000000000e+01 1.215325589401991202e+00
2.370000000000000284e+01 1.199027387618705420e+00
2.389999999999999858e+01 1.214770476317124759e+00
2.410000000000000142e+01 1.194834625579239251e+00
2.430000000000000426e+01 1.187515335392340665e+00
2.450000000000000000e+01 1.188481231370603242e+00
2.470000000000000284e+01 1.204458468315538600e+00
2.489999999999999858e+01 1.177843550507008397e+00
2.510000000000000142e+01 1.181684450870957859e+00
2.530000000000000426e+01 1.180277642828570617e+00
2.550000000000000000e+01 1.157189092709966172e+00
2.570000000000000284e+01 1.162061085095789092e+00
2.589999999999999858e+01 1.164547107991366071e+00
2.610000000000000142e+01 1.131880542620520069e+00
2.630000000000000426e+01 1.140045565611926826e+00
2.650000000000000000e+01 1.136400754955073422e+00
2.670000000000000284e+01 1.104110642087966054e+00
2.689999999999999858e+01 1.104629234242018754e+00
2.710000000000000142e+01 1.088497709201063701e+00
2.730000000000000426e+01 1.081716237631860977e+00
2.750000000000000000e+01 1.057664850222379993e+00
2.770000000000000284e+01 1.040774511806757507e+00
2.789999999999999858e+01 1.037712035851987791e+00
2.810000000000000142e+01 1.016125480968685713e+00
2.830000000000000426e+01 1.004863519114556958e+00
2.850000000000000000e+01 9.893318068712506630e-01
2.870000000000000284e+01 9.764958914061029338e-01
2.889999999999999858e+01 9.566833407864203664e-01
2.910000000000000142e+01 9.539902617504061322e-01
2.930000000000000426e+01 9.254849974698672321e-01
2.950000000000000000e+01 9.203989053098917683e-01
2.970000000000000284e+01 8.999732354919843802e-01
2.989999999999999858e+01 8.789449421666967188e-01
3.010000000000000142e+01 8.576175115578477115e-01
3.030000000000000426e+01 8.426360779683447211e-01
3.050000000000000000e+01 8.463501923907169600e-01
3.070000000000000284e+01 8.209969402942413064e-01
3.089999999999999858e+01 8.080625001293494369e-01
3.110000000000000142e+01 7.948354338474951097e-01
