r,block_22,block_23,block_24,block_25,mean_last4
6.500000000000000000e+00,7.691825846317334126e+00,5.858121031135615553e+00,8.126518840472080285e+00,6.317737963454534977e+00,6.998550920344891679e+00
6.700000000000001066e+00,7.864771338159346037e+00,6.197181369750214941e+00,8.406669131318091459e+00,6.607419759176111462e+00,7.269010399600940531e+00
6.900000000000000355e+00,8.157203762066927766e+00,6.349365581128411762e+00,8.562031917251267998e+00,6.889908209407016315e+00,7.489627367463405960e+00
7.099999999999999645e+00,8.205108091743781529e+00,6.547099896996495971e+00,9.030884801241489512e+00,7.301343020550887353e+00,7.771108952633163369e+00
7.300000000000000711e+00,8.328814179517726402e+00,6.699944323810881563e+00,9.109163479710630895e+00,7.646314486939299826e+00,7.946059117494634449e+00
7.500000000000000000e+00,8.558839261516855146e+00,6.977574826151922593e+00,9.360654087297591630e+00,7.890873785607903201e+00,8.196985490143568143e+00
7.700000000000001066e+00,8.683516003385920001e+00,7.154138881783185688e+00,9.643888820004667295e+00,8.097246251025858044e+00,8.394697489049907091e+00
7.900000000000000355e+00,8.951921658192469877e+00,7.253678544479464030e+00,9.640052234924684882e+00,8.369715605204946840e+00,8.553842010700391185e+00
8.100000000000001421e+00,9.068717399873678531e+00,7.485635007192644075e+00,1.021352735486702556e+01,8.745809590959083835e+00,8.878422338223106891e+00
8.300000000000000711e+00,9.271568124969538971e+00,7.673857000883243629e+00,1.044237040821166929e+01,8.920132460504246907e+00,9.076981998642175142e+00
8.500000000000000000e+00,9.334920372851994941e+00,7.718786571086821091e+00,1.028967294280596256e+01,9.085175174808526322e+00,9.107138765388326007e+00
8.699999999999999289e+00,9.507971275930138688e+00,7.843437162972951349e+00,1.056370069193052963e+01,9.295250412594766587e+00,9.302589885857097229e+00
8.900000000000000355e+00,9.571020630917686844e+00,7.859292071611043262e+00,1.069166019651841459e+01,9.529743632569509515e+00,9.412929132904164220e+00
9.100000000000001421e+00,9.554410758813700610e+00,7.951704487593149295e+00,1.069980534646876436e+01,9.527404687401213934e+00,9.433331320069207493e+00
9.300000000000000711e+00,9.722787971336547486e+00,7.935139314587935644e+00,1.069976165059927453e+01,9.594469841238803198e+00,9.488039694440640659e+00
9.500000000000000000e+00,9.779214425609984218e+00,8.011100395529272333e+00,1.070170510467469249e+01,9.745206376936817350e+00,9.559306575687692487e+00
9.700000000000001066e+00,9.893610291907656062e+00,8.079396353504579409e+00,1.056459578485567796e+01,9.721927167381444690e+00,9.564882399412338643e+00
9.900000000000000355e+00,9.671530789873184375e+00,8.019496622846542522e+00,1.071905777268207061e+01,9.908818919860356900e+00,9.579726026315539045e+00
1.010000000000000142e+01,9.737114475667443259e+00,8.041585309227331280e+00,1.060597110340499150e+01,9.865241269707201610e+00,9.562478039501741023e+00
1.030000000000000071e+01,9.879726191342268038e+00,8.194109875141899479e+00,1.063983338206860019e+01,9.956852069940312688e+00,9.667630379623270542e+00
1.050000000000000000e+01,9.800980846922923817e+00,8.124954336922984410e+00,1.046105019925459345e+01,9.955161698871823006e+00,9.585536770493082059e+00
1.070000000000000107e+01,9.759856825899381860e+00,8.182515914268648771e+00,1.053178869416247565e+01,9.846117129500225218e+00,9.580069640957683319e+00
1.090000000000000036e+01,9.820359622607755412e+00,8.100061490384828033e+00,1.048023031503675639e+01,9.786035884423110787e+00,9.546671828113112213e+00
1.110000000000000142e+01,9.743861458043779677e+00,8.124393290433513215e+00,1.046449259947340948e+01,9.963757117613326386e+00,9.574126116391006747e+00
1.130000000000000071e+01,9.715861445405028718e+00,8.168212640879307429e+00,1.033014221741522753e+01,9.816496512337664626e+00,9.507678204009307521e+00
1.150000000000000000e+01,9.669810950848237496e+00,8.139903476004842986e+00,1.030860225900529414e+01,9.841462746305291276e+00,9.489944858040916031e+00
1.170000000000000107e+01,9.781497220293807970e+00,8.184067336547595772e+00,1.027099340464318722e+01,9.836922890439128153e+00,9.518370212980929779e+00
1.190000000000000036e+01,9.745790597838206892e+00,8.254611494740277777e+00,1.018475440064316473e+01,9.725098164111567911e+00,9.477563664333302995e+00
1.210000000000000142e+01,9.574459379301025308e+00,8.245346089373475351e+00,1.026255973614439831e+01,9.833520855450890608e+00,9.478971515067447839e+00
1.230000000000000071e+01,9.691711533223724473e+00,8.240799084692572052e+00,1.019040329972719761e+01,9.778758122668106623e+00,9.475418010077900632e+00
1.250000000000000000e+01,9.598952485212901564e+00,8.289567253509162015e+00,1.011730855987562627e+01,9.739659358975162107e+00,9.436371914393212990e+00
1.270000000000000107e+01,9.658372205956474943e+00,8.319903064619778021e+00,1.002191006740241086e+01,9.575977276675997629e+00,9.394040653663665807e+00
1.290000000000000036e+01,9.571442748674559908e+00,8.353843680771170455e+00,1.005140992331054939e+01,9.712982739227403073e+00,9.422419772995919374e+00
1.310000000000000142e+01,9.436063672812961656e+00,8.187348798177726650e+00,1.003512796829177844e+01,9.600084111127923592e+00,9.314656137602597141e+00
1.330000000000000071e+01,9.296713974622571541e+00,8.312632378554599910e+00,9.956528216088054606e+00,9.533297572682663201e+00,9.274793035486972315e+00
1.350000000000000000e+01,9.288632294268435174e+00,8.258123131610487277e+00,9.814997097056838982e+00,9.461228007703569531e+00,9.205745132659831853e+00
1.370000000000000107e+01,9.148236136596922918e+00,8.165280207675621682e+00,9.779772296099372042e+00,9.398095587222631053e+00,9.122846056898637812e+00
1.390000000000000036e+01,9.121299414798716754e+00,8.185992995653281312e+00,9.655502074803909096e+00,9.358865521723028991e+00,9.080415001744734482e+00
1.410000000000000142e+01,9.053673632530029991e+00,8.103102244583949343e+00,9.673607204163049644e+00,9.227898369741874163e+00,9.014570362754724897e+00
1.430000000000000071e+01,8.949388320877764258e+00,8.184638252125690627e+00,9.495611964881673472e+00,9.261290936746121361e+00,8.972732368657812430e+00
1.450000000000000000e+01,8.784556296890379201e+00,7.995475909566544637e+00,9.343576017507405851e+00,9.081608954904590192e+00,8.801304294717230192e+00
1.470000000000000107e+01,8.674751371768842034e+00,7.955707562029854962e+00,9.364070274481365530e+00,9.008982763564794993e+00,8.750877992961214602e+00
1.490000000000000036e+01,8.570247718627234335e+00,7.816689261019590163e+00,9.201274444216931414e+00,8.984508174325181784e+00,8.643179899547234868e+00
1.510000000000000142e+01,8.396840633010697275e+00,7.815508779813391982e+00,9.072448739962553077e+00,8.878271231720114898e+00,8.540767346126688864e+00
1.530000000000000071e+01,8.222791651155613835e+00,7.791904636805543127e+00,9.017911620603426215e+00,8.769707387038517155e+00,8.450578823900775305e+00
1.550000000000000000e+01,8.076757196052591681e+00,7.692443783043108496e+00,8.794794922550389416e+00,8.679435154160140442e+00,8.310857763951556620e+00
1.570000000000000107e+01,7.987012637760621203e+00,7.596497818347194730e+00,8.761608643128194984e+00,8.575939214776690633e+00,8.230264578503176054e+00
1.590000000000000036e+01,7.889373376553669992e+00,7.500457584080045592e+00,8.571073804988881051e+00,8.539391205049099653e+00,8.125073992667925182e+00
1.610000000000000142e+01,7.669827218903175314e+00,7.449791851978367241e+00,8.530667107245195169e+00,8.375827927829204711e+00,8.006528526488985165e+00
1.630000000000000071e+01,7.532787816980956563e+00,7.386869719407309631e+00,8.450072562791643094e+00,8.272987041806992181e+00,7.910679285246725811e+00
1.650000000000000000e+01,7.371357172295357252e+00,7.222419524520462097e+00,8.235669737738625429e+00,8.163365053817377870e+00,7.748202872092955218e+00
1.670000000000000284e+01,7.254198234902174747e+00,7.174009260839127045e+00,8.145432482584466172e+00,8.099341375483730232e+00,7.668245338452374327e+00
