# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00
1.899999999999999911e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.300000000000000266e+00 0.000000000000000000e+00
2.500000000000000000e+00 6.621583946161779463e-03
2.700000000000000178e+00 5.677372707038145887e-03
2.900000000000000355e+00 4.921589335578244531e-03
3.100000000000000089e+00 4.307243926144056941e-03
3.300000000000000266e+00 7.602259169522323362e-03
3.500000000000000000e+00 2.027544855767053969e-02
3.700000000000000178e+00 6.047756320837130786e-03
3.900000000000000355e+00 1.088702145749298467e-02
4.099999999999999645e+00 1.970196904520137710e-02
4.300000000000000711e+00 1.343412921737504456e-02
4.500000000000000000e+00 2.657787841984746158e-02
4.700000000000001066e+00 2.436439186466398191e-02
4.900000000000000355e+00 1.379466016990508331e-02
5.099999999999999645e+00 2.069287407470440585e-02
5.300000000000000711e+00 2.358251824015085429e-02
5.500000000000000000e+00 1.505542158583011644e-02
5.700000000000001066e+00 3.568101780098325432e-02
5.900000000000000355e+00 3.211379452709567373e-02
6.099999999999999645e+00 3.560613825295438212e-02
6.300000000000000711e+00 4.277004961395515503e-02
6.500000000000000000e+00 5.193837556003245981e-02
6.700000000000001066e+00 5.626281411218954365e-02
6.900000000000000355e+00 6.000590257119618048e-02
7.099999999999999645e+00 6.899336713646882224e-02
7.300000000000000711e+00 5.594136769927209735e-02
7.500000000000000000e+00 7.876059425698871130e-02
7.700000000000001066e+00 7.542083877692504212e-02
7.900000000000000355e+00 6.368942439478499085e-02
8.100000000000001421e+00 9.466133521895518654e-02
8.300000000000000711e+00 9.376070598741645390e-02
8.500000000000000000e+00 9.856983461320892315e-02
8.699999999999999289e+00 1.077660746059046215e-01
8.900000000000000355e+00 1.238863693599936422e-01
9.100000000000001421e+00 1.220008984805932839e-01
9.300000000000000711e+00 1.278209660074329512e-01
9.500000000000000000e+00 1.362594611630528196e-01
9.700000000000001066e+00 1.540219646822245103e-01
9.900000000000000355e+00 1.423699098684138575e-01
1.010000000000000142e+01 1.700711126446462773e-01
1.030000000000000071e+01 1.728976538572575272e-01
1.050000000000000000e+01 1.926633489774665642e-01
1.070000000000000107e+01 2.072277401816331188e-01
1.090000000000000036e+01 2.097996597678630226e-01
1.110000000000000142e+01 2.302005374379018365e-01
1.130000000000000071e+01 2.350949233887086598e-01
1.150000000000000000e+01 2.438957875102461537e-01
1.170000000000000107e+01 2.389561768668943820e-01
1.190000000000000036e+01 2.447342663419313225e-01
1.210000000000000142e+01 2.729104426075594225e-01
1.230000000000000071e+01 2.649287158619792470e-01
1.250000000000000000e+01 2.867288801221387629e-01
1.270000000000000107e+01 2.929157308031418161e-01
1.290000000000000036e+01 3.057998243851941522e-01
1.310000000000000142e+01 3.148712101879069247e-01
1.330000000000000071e+01 3.148359283303379108e-01
1.350000000000000000e+01 3.541963680956202176e-01
1.370000000000000107e+01 3.399595612577644421e-01
1.390000000000000036e+01 3.456772058877623510e-01
1.410000000000000142e+01 3.628073798434881536e-01
1.430000000000000071e+01 3.699413369537729590e-01
1.450000000000000000e+01 3.820606486939388535e-01
1.470000000000000107e+01 3.897472400262391723e-01
1.490000000000000036e+01 4.073306077543530912e-01
1.510000000000000142e+01 4.151350963413925621e-01
1.530000000000000071e+01 4.266401528876646032e-01
1.550000000000000000e+01 4.287996505036696382e-01
1.570000000000000107e+01 4.404544256562016313e-01
1.590000000000000036e+01 4.780877200421332907e-01
1.610000000000000142e+01 4.728330691538323305e-01
1.630000000000000071e+01 4.745479571151319242e-01
1.650000000000000000e+01 4.839499375447423035e-01
1.670000000000000284e+01 4.960344175156740643e-01
1.689999999999999858e+01 4.903075649538345404e-01
1.710000000000000142e+01 5.118993742994307761e-01
1.730000000000000071e+01 5.186708799590628027e-01
1.750000000000000000e+01 5.433887595256109426e-01
1.770000000000000284e+01 5.344824653918608393e-01
1.789999999999999858e+01 5.555591869399406635e-01
1.810000000000000142e+01 5.633191744305163784e-01
1.830000000000000071e+01 5.678889415676227070e-01
1.850000000000000000e+01 5.755180293800746805e-01
1.870000000000000284e+01 5.786666515176990266e-01
1.889999999999999858e+01 6.038098105235378821e-01
1.910000000000000142e+01 6.059861338011507392e-01
1.930000000000000426e+01 6.073872271817786217e-01
1.950000000000000000e+01 6.104548270775214114e-01
1.970000000000000284e+01 6.289572035273498507e-01
1.989999999999999858e+01 6.416818914444634148e-01
2.010000000000000142e+01 6.508059215623714922e-01
2.030000000000000426e+01 6.568351184551054489e-01
2.050000000000000000e+01 6.636886340737688794e-01
2.070000000000000284e+01 6.714121699589344905e-01
2.089999999999999858e+01 6.837439781056388055e-01
2.110000000000000142e+01 6.949317747369846421e-01
2.130000000000000426e+01 6.979144030512353103e-01
2.150000000000000000e+01 7.020995200593489471e-01
2.170000000000000284e+01 7.055728265395404541e-01
2.189999999999999858e+01 7.334942678794321713e-01
2.210000000000000142e+01 7.302823840091446916e-01
2.230000000000000426e+01 7.282329149148324410e-01
2.250000000000000000e+01 7.468337152102291210e-01
2.270000000000000284e+01 7.599278026413839315e-01
2.289999999999999858e+01 7.571345454633894301e-01
2.310000000000000142e+01 7.672048330402405636e-01
2.330000000000000426e+01 7.801751957388932679e-01
2.350000000000000000e+01 7.768493315589343196e-01
2.370000000000000284e+01 7.641619407551774046e-01
2.389999999999999858e+01 7.781023434240372794e-01
2.410000000000000142e+01 7.882685517293183119e-01
2.430000000000000426e+01 8.156669458884693302e-01
2.450000000000000000e+01 7.984033787080785372e-01
2.470000000000000284e+01 8.021543110211080130e-01
2.489999999999999858e+01 8.091549666029896892e-01
2.510000000000000142e+01 8.184604835759579089e-01
2.530000000000000426e+01 8.241373419158307678e-01
2.550000000000000000e+01 8.264795533938104066e-01
2.570000000000000284e+01 8.255147700109907172e-01
2.589999999999999858e+01 8.306537590523196402e-01
2.610000000000000142e+01 8.456898416696139176e-01
2.630000000000000426e+01 8.423349907342648768e-01
2.650000000000000000e+01 8.583245633960461252e-01
2.670000000000000284e+01 8.530647764546963607e-01
2.689999999999999858e+01 8.498115043670937396e-01
2.710000000000000142e+01 8.580627179960742534e-01
2.730000000000000426e+01 8.537590560282894980e-01
2.750000000000000000e+01 8.627942911066203147e-01
2.770000000000000284e+01 8.735311781470540549e-01
2.789999999999999858e+01 8.653610945574587987e-01
2.810000000000000142e+01 8.803028052764602096e-01
2.830000000000000426e+01 8.623723755824032056e-01
2.850000000000000000e+01 8.812040306600955608e-01
2.870000000000000284e+01 8.813316763518246333e-01
2.889999999999999858e+01 8.741828000819396038e-01
2.910000000000000142e+01 8.824025086292353048e-01
2.930000000000000426e+01 8.870373074682948999e-01
2.950000000000000000e+01 9.021237284073253537e-01
2.970000000000000284e+01 8.973847169630654319e-01
2.989999999999999858e+01 9.088092611572384794e-01
3.010000000000000142e+01 9.039018018526597809e-01
3.030000000000000426e+01 9.076585935175965902e-01
3.050000000000000000e+01 9.191179715649393511e-01
3.070000000000000284e+01 9.187360373636138666e-01
3.089999999999999858e+01 9.265699635033978199e-01
3.110000000000000142e+01 9.288185192344765584e-01
