frame,time_ps,n_coordination_water
0,0.0009999999119200186,519
1,0.001999999823840037,498
2,0.002999999735760056,533
3,0.003999999647680074,557
4,0.004999999559600093,517
5,0.005999999471520112,537
6,0.00699999938344013,573
7,0.007999999295360148,532
8,0.008999999207280167,492
9,0.009999999119200185,473
10,0.010999999031120204,513
11,0.011999998943040224,504
12,0.012999998854960242,514
13,0.01399999876688026,479
14,0.014999998678800279,500
15,0.015999998590720297,473
16,0.016999998502640317,511
17,0.017999998414560334,486
18,0.018999998326480354,535
19,0.01999999823840037,482
20,0.02099999815032039,514
21,0.021999998062240407,508
22,0.022999997974160427,501
23,0.023999997886080447,489
24,0.024999997798000464,531
25,0.025999997709920484,543
26,0.0269999976218405,511
27,0.02799999753376052,485
28,0.028999997445680537,470
29,0.029999997357600557,498
30,0.030999997269520574,491
31,0.031999997181440594,517
32,0.032999997093360614,521
33,0.033999997005280634,472
34,0.03499999691720065,547
35,0.03599999682912067,511
36,0.03699999674104069,502
37,0.03799999665296071,470
38,0.03899999656488072,506
39,0.03999999647680074,512
40,0.04099999638872076,519
41,0.04199999630064078,500
42,0.0429999962125608,505
43,0.043999996124480814,506
44,0.044999996036400834,484
45,0.045999995948320854,520
46,0.046999995860240874,501
47,0.047999995772160894,495
48,0.04899999568408091,521
49,0.04999999559600093,513
50,0.05099999550792095,425
51,0.05199999541984097,466
52,0.05299999533176098,504
53,0.053999995243681,521
54,0.05499999515560102,504
55,0.05599999506752104,500
56,0.05699999497944106,504
57,0.057999994891361074,532
58,0.058999994803281094,507
59,0.059999994715201115,479
60,0.060999994627121135,495
61,0.06199999453904115,516
62,0.06299999445096117,523
63,0.06399999436288119,553
64,0.0649999942748012,516
65,0.06599999418672123,497
66,0.06699999409864124,502
67,0.06799999401056127,498
68,0.06899999392248128,521
69,0.0699999938344013,486
70,0.07099999374632132,484
71,0.07199999365824133,483
72,0.07299999357016136,510
73,0.07399999348208137,532
74,0.07499999339400139,509
75,0.07599999330592141,495
76,0.07699999321784143,499
77,0.07799999312976144,511
78,0.07899999304168147,526
79,0.07999999295360148,460
80,0.08099999286552151,530
81,0.08199999277744152,501
82,0.08299999268936153,445
83,0.08399999260128156,493
84,0.08499999251320157,453
85,0.0859999924251216,450
86,0.08699999233704162,470
87,0.08799999224896163,520
88,0.08899999216088166,468
89,0.08999999207280167,514
90,0.0909999919847217,497
91,0.09199999189664171,533
92,0.09299999180856172,497
93,0.09399999172048175,520
94,0.09499999163240176,495
95,0.09599999154432179,516
96,0.0969999914562418,519
97,0.09799999136816182,505
98,0.09899999128008184,456
99,0.09999999119200186,489
100,0.10099999110392187,468
101,0.1019999910158419,487
102,0.10299999092776191,504
103,0.10399999083968194,454
104,0.10499999075160195,460
105,0.10599999066352196,475
106,0.10699999057544199,451
107,0.107999990487362,475
108,0.10899999039928203,476
109,0.10999999031120204,467
110,0.11099999022312206,466
111,0.11199999013504208,532
112,0.1129999900469621,463
113,0.11399998995888212,519
114,0.11499998987080214,511
115,0.11599998978272215,452
116,0.11699998969464218,459
117,0.11799998960656219,502
118,0.1189999895184822,478
119,0.11999998943040223,483
120,0.12099998934232224,514
121,0.12199998925424227,436
122,0.12299998916616228,472
123,0.1239999890780823,473
124,0.12499998899000232,445
125,0.12599998890192235,499
126,0.12699998881384236,480
127,0.12799998872576238,462
128,0.1289999886376824,456
129,0.1299999885496024,503
130,0.13099998846152244,510
131,0.13199998837344246,477
132,0.13299998828536247,521
133,0.13399998819728248,454
134,0.1349999881092025,493
135,0.13599998802112254,519
136,0.13699998793304255,494
137,0.13799998784496256,490
138,0.13899998775688258,490
139,0.1399999876688026,488
140,0.14099998758072263,496
141,0.14199998749264264,506
142,0.14299998740456266,471
143,0.14399998731648267,471
144,0.14499998722840268,503
145,0.14599998714032272,508
146,0.14699998705224274,511
147,0.14799998696416275,497
148,0.14899998687608276,512
149,0.14999998678800278,496
150,0.1509999866999228,473
151,0.15199998661184283,536
152,0.15299998652376284,470
153,0.15399998643568286,502
154,0.15499998634760287,546
155,0.15599998625952288,508
156,0.15699998617144292,508
157,0.15799998608336294,511
158,0.15899998599528295,498
159,0.15999998590720296,485
160,0.16099998581912298,480
161,0.16199998573104302,481
162,0.16299998564296303,519
163,0.16399998555488304,481
164,0.16499998546680306,496
165,0.16599998537872307,519
166,0.1669999852906431,496
167,0.16799998520256312,527
168,0.16899998511448314,504
169,0.16999998502640315,530
170,0.17099998493832316,475
171,0.1719999848502432,482
172,0.17299998476216322,489
173,0.17399998467408323,485
174,0.17499998458600324,488
175,0.17599998449792326,497
176,0.1769999844098433,521
177,0.1779999843217633,469
178,0.17899998423368332,518
179,0.17999998414560334,506
180,0.18099998405752335,549
181,0.1819999839694434,500
182,0.1829999838813634,498
183,0.18399998379328342,500
184,0.18499998370520343,549
185,0.18599998361712344,543
186,0.18699998352904348,484
187,0.1879999834409635,530
188,0.1889999833528835,510
189,0.18999998326480352,508
190,0.19099998317672354,460
191,0.19199998308864358,545
192,0.1929999830005636,515
193,0.1939999829124836,522
194,0.19499998282440362,502
195,0.19599998273632363,512
196,0.19699998264824364,502
197,0.19799998256016368,503
198,0.1989999824720837,479
199,0.1999999823840037,493
200,0.20099998229592372,508
201,0.20199998220784374,493
202,0.20299998211976378,522
203,0.2039999820316838,483
204,0.2049999819436038,496
205,0.20599998185552382,538
206,0.20699998176744383,484
207,0.20799998167936387,495
208,0.20899998159128388,509
209,0.2099999815032039,596
210,0.2109999814151239,508
211,0.21199998132704392,546
212,0.21299998123896396,539
213,0.21399998115088398,498
214,0.214999981062804,511
215,0.215999980974724,525
216,0.21699998088664402,508
217,0.21799998079856406,550
218,0.21899998071048407,510
219,0.21999998062240408,500
220,0.2209999805343241,523
221,0.2219999804462441,531
222,0.22299998035816415,534
223,0.22399998027008416,535
224,0.22499998018200418,535
225,0.2259999800939242,534
226,0.2269999800058442,526
227,0.22799997991776424,526
228,0.22899997982968426,515
229,0.22999997974160427,479
230,0.23099997965352428,521
231,0.2319999795654443,512
232,0.23299997947736434,497
233,0.23399997938928435,542
234,0.23499997930120436,523
235,0.23599997921312438,520
236,0.2369999791250444,540
237,0.2379999790369644,525
238,0.23899997894888445,526
239,0.23999997886080446,510
240,0.24099997877272447,480
241,0.24199997868464448,535
242,0.2429999785965645,493
243,0.24399997850848454,580
244,0.24499997842040455,456
245,0.24599997833232456,476
246,0.24699997824424458,500
247,0.2479999781561646,526
248,0.24899997806808463,535
249,0.24999997798000465,544
250,0.2509999778919247,509
251,0.2519999778038447,478
252,0.2529999777157647,510
253,0.2539999776276847,492
254,0.25499997753960474,496
255,0.25599997745152475,518
256,0.25699997736344476,527
257,0.2579999772753648,507
258,0.2589999771872848,525
259,0.2599999770992048,466
260,0.2609999770111248,488
261,0.2619999769230449,484
262,0.2629999768349649,470
263,0.2639999767468849,464
264,0.2649999766588049,512
265,0.26599997657072494,487
266,0.26699997648264495,524
267,0.26799997639456496,526
268,0.268999976306485,510
269,0.269999976218405,513
270,0.270999976130325,527
271,0.2719999760422451,477
272,0.2729999759541651,523
273,0.2739999758660851,480
274,0.2749999757780051,480
275,0.2759999756899251,491
276,0.27699997560184514,506
277,0.27799997551376515,527
278,0.27899997542568516,535
279,0.2799999753376052,457
280,0.2809999752495252,487
281,0.28199997516144526,503
282,0.2829999750733653,525
283,0.2839999749852853,484
284,0.2849999748972053,511
285,0.2859999748091253,547
286,0.2869999747210453,477
287,0.28799997463296534,472
288,0.28899997454488535,510
289,0.28999997445680537,490
290,0.2909999743687254,539
291,0.29199997428064545,482
292,0.29299997419256546,494
293,0.2939999741044855,530
294,0.2949999740164055,487
295,0.2959999739283255,475
296,0.2969999738402455,512
297,0.2979999737521655,519
298,0.29899997366408554,479
299,0.29999997357600555,502
300,0.30099997348792557,507
301,0.3019999733998456,509
302,0.30299997331176565,500
303,0.30399997322368566,536
304,0.3049999731356057,515
305,0.3059999730475257,497
306,0.3069999729594457,504
307,0.3079999728713657,519
308,0.3089999727832857,520
309,0.30999997269520574,518
310,0.31099997260712575,484
