frame,dmin_CHI_NAP,dmin_CHI_PAR
0,6.105476273501856,16.057251903969103
1,6.263744810875113,15.163680994400542
2,7.6140260633598995,15.781217614211808
3,10.600959689497206,17.129071926722187
4,9.32238367327732,17.38534671879651
5,8.417163150230028,23.60917157566926
6,4.734952083198583,21.962604152285145
7,4.842131901882127,20.414396281387106
8,3.370728324240764,14.020585494669831
9,5.54647565171094,12.245559013161602
10,6.0898216351288355,10.665654006355577
11,5.218286535040503,15.650777665954381
12,4.422079979050286,17.05241682926355
13,2.2480648786158897,15.401922008834818
14,2.111080428091066,18.186673068854063
15,2.193853190148907,18.2200240650845
16,2.355442993069998,17.099736978123815
17,2.4561616943030975,19.672711990904077
18,2.2588661534218057,17.71599978741326
19,2.273919603016033,21.79527371150863
20,2.227007566062488,20.30612377130726
21,2.2229723156005856,18.69967325366908
22,2.2636547195143373,19.457838194758104
23,2.145977829969131,16.750986527121707
24,3.3659431848230787,18.161312195587943
25,4.4497110514357,11.563451205286942
26,2.1113641255547653,11.54762980362441
27,1.8176325413700956,9.925478545565841
28,2.40495857591951,8.665350298231344
29,2.229536978230547,9.505553072346103
30,2.4225624226780713,13.059582375143478
31,2.4783831716323363,14.757164502553684
32,2.415006810014464,14.267055790629682
33,2.2140042582932553,14.624555003879205
34,2.1528361719944797,10.47729324021016
35,2.695866250154744,15.936572687912605
36,2.445383866549654,19.846792903411863
37,2.150775657597353,17.40287946364597
38,2.6151332593129593,17.379565746836256
39,5.04410074243312,18.151358383063357
40,2.227067100464301,11.961487085085642
41,2.6793352627320304,16.84171292337548
42,2.154103421155122,17.569335346425564
43,2.526535980904829,22.63612182237726
44,2.256532730323674,18.296598365967682
45,2.16991604173746,13.926303919793579
46,2.303429813108957,13.318541110845423
47,1.947815622590865,13.890402603995769
48,2.4199057958600205,14.910126101762176
49,2.6019296458759635,17.928646011347457
50,2.2035085103690064,15.93522949637629
51,2.6486367192082034,13.213058874402952
52,2.079954653056118,14.203437355452799
53,2.5134679695358906,13.093625585120309
54,2.434952605970779,13.277372117234966
55,2.309405476503309,16.671171203333888
56,2.3332532057545987,14.096446007788002
57,2.6708791244492236,14.311202638363671
58,2.511651613267993,9.640673484728485
59,2.219855659744871,7.07804259016784
60,1.8444023951085375,8.839813232766133
61,2.4130294912804087,14.723423021536263
62,2.565830637986437,14.923420806335749
63,3.1419316286525083,12.721639789528723
64,4.693454260978245,10.368752718318252
65,3.2076021487226356,10.177257392025746
66,4.588744748002109,9.239608810196758
67,3.563782604899952,9.621195261331595
68,2.4134132621034157,9.749797917710495
69,2.184937705499952,11.355912759142683
70,2.5118966996899275,13.06702019812173
71,2.6848806812392727,10.318733048773984
72,2.3744948917004143,10.476467182904727
73,2.3518471562007157,11.87130865303797
74,2.332013062762322,5.636906029928889
75,2.4931421957992987,7.551291682494842
76,2.1407512103926742,4.966494498386743
77,2.460271928312335,8.31276432397191
78,2.095694684523684,4.957858160651733
79,2.193354134110714,6.888945756372134
80,2.2092202972693875,7.347822269457397
81,2.6311402937428587,7.5412229320971695
82,2.40564976108358,7.870019786772709
83,2.312319325159715,4.495735420581946
84,1.9602434703709177,7.990516933024504
85,2.2741952631972313,7.724103702133948
86,2.1877134198388197,5.773928852569417
87,2.3123517682009713,6.184829426028767
88,2.4131476850716274,7.600409280825554
89,1.8816327909826371,12.416121735358299
90,2.347885793326504,5.713100184420282
91,2.578012291328021,10.636765422575383
92,2.865210206364956,7.6721621993000015
93,2.1048467646903783,9.375861724360773
94,2.192610881540727,4.900801049586711
95,1.9318859109906554,5.59000819298005
96,1.9124405338583856,5.241458404932334
97,2.1977261101678653,6.206079614138178
98,2.0290995863265184,4.414854111474679
99,2.0365993458839213,8.696039697291999
100,2.088379112674797,13.551557495898406
101,2.420008219405473,14.679986823586667
102,2.142044494298103,8.822978493922484
103,2.36079112846367,4.1659973977609015
104,2.110015317758149,6.225868855441045
105,2.2573889281126114,4.451041391141395
106,2.179350993921339,1.8645305075398946
107,2.3203183033302452,6.714223834017576
108,2.262228439653099,6.744428317157089
109,2.8133795360536187,8.006195438494698
110,2.4037958388549034,7.008297417131407
111,2.062480234375734,6.18686811528569
112,2.3911663098323785,6.776848999216509
113,2.285886880297327,5.62507755717139
114,2.3667098459379408,8.43719705880687
115,2.249134669297189,13.87342033719352
116,1.9160641444889697,11.40560102707126
117,2.3275814230786724,10.920296278873654
118,2.2258054626541472,12.189478698452383
119,2.3165644930798264,13.626349292563075
120,2.0469409647034342,12.388001943668801
121,2.194178282047281,13.011479404947202
122,2.0437397746889547,9.88954868179054
123,2.153923610063343,12.813490372952009
124,2.141531114291771,12.713981717025801
125,2.4616655023902703,8.155864604246641
126,2.203160638929936,9.106316698227321
127,2.3060507364438174,6.657545664060766
128,2.1191213307787815,6.36784694955245
129,2.3382341235045283,8.121034267731513
130,1.986831449385858,6.67902629803612
131,2.1124394269699445,6.410893340393086
132,2.6399682745692776,8.898349711944897
133,2.169973974822706,11.483837211041553
134,2.213865171605974,9.343657839484456
135,2.1248865663340104,9.789693418381587
136,2.3083489036035747,7.604954123388231
137,2.5423437194627803,9.70567607506116
138,2.2818949121674565,7.39792945550264
139,2.457786876048468,10.182293546974298
140,2.2534551991179987,11.32687678337674
141,2.368836211364396,11.507217394103277
142,2.376545243348821,14.042825760408407
143,2.4802343765616204,13.778293077445237
144,2.1897337325980253,15.479124119286382
145,2.1929855942296883,12.133757608102966
146,2.3139499742362624,11.94127834939255
147,2.1576605022434823,14.62976771719401
148,2.340448496462205,14.254673380787832
149,2.354595141704287,12.90219839798679
150,1.7637748457217859,14.331993644094572
151,2.801531402941091,15.507663439854252
152,2.6283163294051892,16.48139042799305
153,1.7845301546526584,20.150792298930813
154,2.6655164311970534,20.457287533743447
155,5.212363576934717,20.13972999083996
156,4.234094009599309,21.707472696900794
157,2.924849774655654,17.70219892011708
158,1.844611927077853,17.901168194218993
159,3.609519612205144,21.393867643734374
160,5.5305550374124195,22.57325674308083
161,7.680686222433868,23.419377654373623
162,6.3878261073892935,24.529788773008963
163,6.297738440031665,23.564799152252874
164,7.887328351817018,23.020141210660128
165,6.8021359362587,24.305864966994577
166,8.248230855679015,21.67541745842057
167,6.602143434620517,17.893176726374833
168,7.915959493366696,20.4087781991302
169,6.98950441504061,23.74736226718677
170,5.481281829984114,23.232354197544197
171,11.21956554730908,16.68986268507339
172,10.488444594331794,19.995950871092504
173,14.816042769836283,17.95122587392619
174,8.213747078292313,18.4093750806197
175,9.339191549049257,12.907502303127025
176,9.999916787279771,11.951598367729856
177,9.939386379060727,10.085317492970281
178,14.45784265077527,10.592699246515403
179,9.96621275020596,15.442723323841356
180,10.440789449679992,16.706343147771562
181,9.629458752845762,12.299898529407715
