frame,CHI_NAP_COM_distance,CHI_PAR_COM_distance
0,15.757243354334129,38.91189220055346
1,22.29017211310398,31.043255833736687
2,20.32000562921376,37.54675008713088
3,16.642990081992032,34.40132919507987
4,17.957687874175182,27.424451954318307
5,11.64767879605414,20.648009746357395
6,9.575841449091907,23.142865174842978
7,11.326421406098728,21.273663594405658
8,14.166028826864002,27.566523197121242
9,7.770362089464551,25.53605557453472
10,7.9931676964326055,17.358561063683783
11,9.09786202191345,26.64780192260541
12,12.793507025139917,22.977661731340124
13,7.003376243389638,13.235430220379737
14,6.1982016266429225,10.833358257082377
15,12.982187350514515,5.953696974003439
16,15.451139204148326,13.15698505812252
17,7.771214787136931,4.64963037580217
18,18.81575632252252,18.329174195898915
19,17.47392710595749,24.491272767566105
20,11.392283008612733,20.364290570696795
21,4.4514618593755655,21.944316972782588
22,9.258991951921155,16.923315323347097
23,11.943504426376295,31.264811129044396
24,13.94670641460592,26.02576133732901
25,18.583139779458925,25.851130835872596
26,17.626543842541402,22.029108051248823
27,13.087607638174577,26.92595711526431
28,17.43846923914035,24.94238251846972
29,5.743348963171874,25.09998128376037
30,10.954643338398014,24.801351804510595
31,16.923292785716892,27.882810809837107
32,12.824023181218282,29.432699512678273
33,16.524791881164738,22.69341498557047
34,9.056250797724912,12.678825912916093
35,14.926650545678156,11.508461033688466
36,13.127448098983724,20.205668028390726
37,12.510440123809781,17.938630748001444
38,12.35532946573365,13.730563127998654
39,9.880001077230249,15.701419484518414
40,10.183873338961947,15.804405753590384
41,12.462646407924922,14.675394036374056
42,13.853333926662915,11.974421805184516
43,19.068046372246435,19.9091276201776
44,15.854700370509406,17.77330445679537
45,18.34431552797345,31.803320834009057
46,17.87289051254821,28.561297846704974
47,17.30818123447192,26.48616192666144
48,24.22016008288386,27.88649361121165
49,16.46622308223842,24.45909524433952
50,20.155108317734175,29.5492423623958
51,10.154237508038277,30.896102040153174
52,11.847132968348802,27.99802601188235
53,13.702974558947822,24.82513580338718
54,10.400713884505356,25.09565977290153
55,17.21441609249272,25.408196838161892
56,10.381264006582576,17.719173222164535
57,15.885767286717465,22.154950460434726
58,18.217984706595015,18.63946641132717
59,15.620034533159618,18.032205424481717
60,9.63283154594136,21.81191016345499
61,3.3504806030546854,19.634250941407323
62,9.400778142436206,19.255544437542316
63,4.697619427347313,16.77713558257376
64,15.000975803348018,20.17564718673236
65,10.879304236551116,19.7307661315749
66,5.732394881467265,15.197161952218076
