frame,Rg
0,41.89095781056948
1,41.86899514830596
2,41.86144628073754
3,41.87722837232211
4,41.90116231922329
5,41.87758575431691
6,41.81738369177205
7,41.867734852865986
8,41.90299351395637
9,41.848980618232
10,41.84225172677265
11,41.87930398149408
12,41.85357276172327
13,41.852717181959925
14,41.88090102942858
15,41.84068083370367
16,41.88654891923252
17,41.86702231963519
18,41.81119777918937
19,41.88107227990859
20,41.892697448343704
21,41.85147916909322
22,41.84509739523597
23,41.84437700334166
24,41.8506699265827
25,41.867743203768306
26,41.85098553748126
27,41.84407483066368
28,41.85568821821178
29,41.818643446556905
30,41.88926304691507
31,41.82080439024616
32,41.80310901161894
33,41.85144673593971
34,41.89808320557593
35,41.865711061070975
36,41.8387420963341
37,41.85478581405476
38,41.85626345102766
39,41.88237778021267
40,41.83970774899359
41,41.86243262066178
42,41.87663821756679
43,41.86781142005916
44,41.83715753718572
45,41.782410314352745
46,41.86825055540403
47,41.83754870585861
48,41.850568203722645
49,41.86288285531825
50,41.894863003041216
51,41.847006064232346
52,41.853136302665014
53,41.84649178969898
54,41.882982058716635
55,41.81745048991148
56,41.839733825878795
57,41.80311960165296
58,41.89838582099387
59,41.88549317231866
60,41.853882555802635
61,41.84455545512092
62,41.84127880898112
63,41.843446053709144
64,41.90518234652714
65,41.83992255771961
66,41.854922306764855
67,41.8956997511214
68,41.87683829766937
69,41.839851691995385
70,41.86341116434852
71,41.86848838339791
72,41.912124016431854
73,41.90547958187747
74,41.86843699644335
75,41.78034357484704
76,41.88850786507728
77,41.859927307384254
78,41.85544888562991
79,41.89778279404311
80,41.837610155540865
81,41.875094643680775
82,41.88142544188494
83,41.87482670312731
84,41.885037564615345
85,41.88794654728987
86,41.90864686931742
87,41.88176816524246
88,41.87881337418373
89,41.89507055448052
90,41.90285581063951
91,41.88513685436762
92,41.848697235916084
93,41.90343065502158
94,41.86437564999159
95,41.869402891830106
96,41.83995472918345
97,41.83055511219844
98,41.87285617095802
99,41.8688331848864
100,41.86531588349061
101,41.87419960681273
102,41.82662391613968
103,41.89642593704048
104,41.89128738213659
