# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 1.336300204709824297e-03
1.700000000000000178e+00 7.389062744844787645e-02
1.899999999999999911e+00 1.429175534435691008e-01
2.100000000000000089e+00 1.009774644114866948e-01
2.300000000000000266e+00 9.186979757493089760e-02
2.500000000000000000e+00 1.824975787033457364e-01
2.700000000000000178e+00 4.341228947489069179e-01
2.900000000000000355e+00 5.194914695182835107e-01
3.100000000000000089e+00 5.432875827415989400e-01
3.300000000000000266e+00 6.169683324579969819e-01
3.500000000000000000e+00 7.052727837762858831e-01
3.700000000000000178e+00 7.317089380409518284e-01
3.900000000000000355e+00 7.178813167217787949e-01
4.099999999999999645e+00 7.253217090512600329e-01
4.300000000000000711e+00 7.267579941377561026e-01
4.500000000000000000e+00 7.743648552620536751e-01
4.700000000000001066e+00 8.246306950349158171e-01
4.900000000000000355e+00 8.391998674533431846e-01
5.099999999999999645e+00 8.620728784743283413e-01
5.300000000000000711e+00 8.819559153407013907e-01
5.500000000000000000e+00 9.164769661346856555e-01
5.700000000000001066e+00 9.212704201829036155e-01
5.900000000000000355e+00 9.252650606435448566e-01
6.099999999999999645e+00 9.264807277405027186e-01
6.300000000000000711e+00 9.545822582426147784e-01
6.500000000000000000e+00 9.557890376778217512e-01
6.700000000000001066e+00 9.755094683586726934e-01
6.900000000000000355e+00 9.958293610516101291e-01
7.099999999999999645e+00 1.006311454237697633e+00
7.300000000000000711e+00 1.034025888876825450e+00
7.500000000000000000e+00 1.043930294254019620e+00
7.700000000000001066e+00 1.039185107721415591e+00
7.900000000000000355e+00 1.064356547167015332e+00
8.100000000000001421e+00 1.063938136457107442e+00
8.300000000000000711e+00 1.058564806376403489e+00
8.500000000000000000e+00 1.067349382746716646e+00
8.699999999999999289e+00 1.073102850641763695e+00
8.900000000000000355e+00 1.073332699217567132e+00
9.100000000000001421e+00 1.084141259713480077e+00
9.300000000000000711e+00 1.087066826749835569e+00
9.500000000000000000e+00 1.091690244952232991e+00
9.700000000000001066e+00 1.099988285711630542e+00
9.900000000000000355e+00 1.101539562822131613e+00
1.010000000000000142e+01 1.107773832098595035e+00
1.030000000000000071e+01 1.103473867503290462e+00
1.050000000000000000e+01 1.113428876209377361e+00
1.070000000000000107e+01 1.111079542619725524e+00
1.090000000000000036e+01 1.115576957110572698e+00
1.110000000000000142e+01 1.119789348979705057e+00
1.130000000000000071e+01 1.124587178683166488e+00
1.150000000000000000e+01 1.125291747155758415e+00
1.170000000000000107e+01 1.128062866113428209e+00
1.190000000000000036e+01 1.131980394095207565e+00
1.210000000000000142e+01 1.129286785723652597e+00
1.230000000000000071e+01 1.136925733359210655e+00
1.250000000000000000e+01 1.139329394895666203e+00
1.270000000000000107e+01 1.148215702349720591e+00
1.290000000000000036e+01 1.149240231802571843e+00
1.310000000000000142e+01 1.149763919351354691e+00
1.330000000000000071e+01 1.156179537639224764e+00
1.350000000000000000e+01 1.153237488250778098e+00
1.370000000000000107e+01 1.159334168897995454e+00
1.390000000000000036e+01 1.166225779908377058e+00
1.410000000000000142e+01 1.160744493465699412e+00
1.430000000000000071e+01 1.165485106474856591e+00
1.450000000000000000e+01 1.168722320299649065e+00
1.470000000000000107e+01 1.174091194234207602e+00
1.490000000000000036e+01 1.170798007883114611e+00
1.510000000000000142e+01 1.172357088109248213e+00
1.530000000000000071e+01 1.175409530672192338e+00
1.550000000000000000e+01 1.183774317924979780e+00
1.570000000000000107e+01 1.185629302662029705e+00
1.590000000000000036e+01 1.181496440190397790e+00
1.610000000000000142e+01 1.182312965887025058e+00
1.630000000000000071e+01 1.187884810761408616e+00
1.650000000000000000e+01 1.191944868248884681e+00
1.670000000000000284e+01 1.188636540541467168e+00
1.689999999999999858e+01 1.197057985386480894e+00
1.710000000000000142e+01 1.194346626117275267e+00
1.730000000000000071e+01 1.197909045491014624e+00
1.750000000000000000e+01 1.204920583830398684e+00
1.770000000000000284e+01 1.204794717870690368e+00
1.789999999999999858e+01 1.201845638467323285e+00
1.810000000000000142e+01 1.208571066443939079e+00
1.830000000000000071e+01 1.211030559700400078e+00
1.850000000000000000e+01 1.214566634684130619e+00
1.870000000000000284e+01 1.212474287708192211e+00
1.889999999999999858e+01 1.219782368518305793e+00
1.910000000000000142e+01 1.219809659259459167e+00
1.930000000000000426e+01 1.219553643991373004e+00
1.950000000000000000e+01 1.223478026368890914e+00
1.970000000000000284e+01 1.228175672960721831e+00
1.989999999999999858e+01 1.225370708256086072e+00
2.010000000000000142e+01 1.231231952844800137e+00
2.030000000000000426e+01 1.232186520824430920e+00
2.050000000000000000e+01 1.236975205368631592e+00
2.070000000000000284e+01 1.233893753103937785e+00
2.089999999999999858e+01 1.238010146444237236e+00
2.110000000000000142e+01 1.238411782525068672e+00
2.130000000000000426e+01 1.243491431996122776e+00
2.150000000000000000e+01 1.245458791230687812e+00
2.170000000000000284e+01 1.245771077929903381e+00
2.189999999999999858e+01 1.247210948705773870e+00
2.210000000000000142e+01 1.250376969771825442e+00
2.230000000000000426e+01 1.254322216079699182e+00
2.250000000000000000e+01 1.251797966635095571e+00
2.270000000000000284e+01 1.255440574554299138e+00
2.289999999999999858e+01 1.258719587515076510e+00
2.310000000000000142e+01 1.262625574627096237e+00
2.330000000000000426e+01 1.263688909878116995e+00
2.350000000000000000e+01 1.259781491432970801e+00
2.370000000000000284e+01 1.265761685484153576e+00
2.389999999999999858e+01 1.271919612106436448e+00
2.410000000000000142e+01 1.269547268427260844e+00
2.430000000000000426e+01 1.274374999559902744e+00
2.450000000000000000e+01 1.275064045242335853e+00
2.470000000000000284e+01 1.272938060214075406e+00
2.489999999999999858e+01 1.274666393115414298e+00
2.510000000000000142e+01 1.276453039481541429e+00
2.530000000000000426e+01 1.279889321621721088e+00
2.550000000000000000e+01 1.281093132839343118e+00
2.570000000000000284e+01 1.280796187878968428e+00
2.589999999999999858e+01 1.280261334361325609e+00
2.610000000000000142e+01 1.282828017710898383e+00
2.630000000000000426e+01 1.285756543397948093e+00
2.650000000000000000e+01 1.287822691948290021e+00
2.670000000000000284e+01 1.286983861581634025e+00
2.689999999999999858e+01 1.286643371835188621e+00
2.710000000000000142e+01 1.292486778196220376e+00
2.730000000000000426e+01 1.287426059275248225e+00
2.750000000000000000e+01 1.289167980712121242e+00
2.770000000000000284e+01 1.289938712642315854e+00
2.789999999999999858e+01 1.291626448953014705e+00
2.810000000000000142e+01 1.292668472015595649e+00
2.830000000000000426e+01 1.294396180000085383e+00
2.850000000000000000e+01 1.291158630801465979e+00
2.870000000000000284e+01 1.292189816849488082e+00
2.889999999999999858e+01 1.293526747857179915e+00
2.910000000000000142e+01 1.294457845026464549e+00
2.930000000000000426e+01 1.292538816811773073e+00
2.950000000000000000e+01 1.293479869250487191e+00
2.970000000000000284e+01 1.295411755461199022e+00
2.989999999999999858e+01 1.295672521170236013e+00
3.010000000000000142e+01 1.295689026544766698e+00
3.030000000000000426e+01 1.295513482069703626e+00
3.050000000000000000e+01 1.295923795098199660e+00
3.070000000000000284e+01 1.294783788275177594e+00
3.089999999999999858e+01 1.294997945989883492e+00
3.110000000000000142e+01 1.293194239411944890e+00
