# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 1.336138770914463512e-03
1.700000000000000178e+00 6.347582760072446872e-02
1.899999999999999911e+00 1.412338124067538392e-01
2.100000000000000089e+00 1.129037261422720650e-01
2.300000000000000266e+00 1.134725106568427178e-01
2.500000000000000000e+00 2.128078761402319996e-01
2.700000000000000178e+00 4.912447316610741299e-01
2.900000000000000355e+00 6.090717651161569046e-01
3.100000000000000089e+00 6.243372484455460558e-01
3.300000000000000266e+00 7.022971067992989092e-01
3.500000000000000000e+00 8.204255529685464676e-01
3.700000000000000178e+00 8.603549764259215138e-01
3.900000000000000355e+00 8.444525844856725083e-01
4.099999999999999645e+00 8.438680562180131961e-01
4.300000000000000711e+00 8.700994439327653929e-01
4.500000000000000000e+00 9.146762698530621627e-01
4.700000000000001066e+00 9.843814915977084912e-01
4.900000000000000355e+00 9.815916401641894273e-01
5.099999999999999645e+00 1.018795540099795671e+00
5.300000000000000711e+00 1.049034763496563771e+00
5.500000000000000000e+00 1.060717818499257392e+00
5.700000000000001066e+00 1.091603444958642921e+00
5.900000000000000355e+00 1.088736122868686484e+00
6.099999999999999645e+00 1.096270504641910559e+00
6.300000000000000711e+00 1.112160486772632906e+00
6.500000000000000000e+00 1.126543332476693804e+00
6.700000000000001066e+00 1.147077714248544877e+00
6.900000000000000355e+00 1.174375806168739711e+00
7.099999999999999645e+00 1.186160992739875963e+00
7.300000000000000711e+00 1.195079020672317194e+00
7.500000000000000000e+00 1.212049197543442203e+00
7.700000000000001066e+00 1.225742971536486703e+00
7.900000000000000355e+00 1.222645328322568226e+00
8.100000000000001421e+00 1.239486059969536091e+00
8.300000000000000711e+00 1.235997536140438058e+00
8.500000000000000000e+00 1.240149195638769131e+00
8.699999999999999289e+00 1.247728372505518823e+00
8.900000000000000355e+00 1.256118092379363560e+00
9.100000000000001421e+00 1.260864313746619114e+00
9.300000000000000711e+00 1.266046376914011118e+00
9.500000000000000000e+00 1.267627460937580608e+00
9.700000000000001066e+00 1.273298689596861433e+00
9.900000000000000355e+00 1.277205163217653094e+00
1.010000000000000142e+01 1.271572497445223160e+00
1.030000000000000071e+01 1.272830947576527594e+00
1.050000000000000000e+01 1.278847357351241776e+00
1.070000000000000107e+01 1.275810790586136001e+00
1.090000000000000036e+01 1.282992280652301975e+00
1.110000000000000142e+01 1.285973562937431813e+00
1.130000000000000071e+01 1.296088091477649362e+00
1.150000000000000000e+01 1.287528186193859447e+00
1.170000000000000107e+01 1.289205058370441526e+00
1.190000000000000036e+01 1.292285780617424829e+00
1.210000000000000142e+01 1.297020239085264537e+00
1.230000000000000071e+01 1.296537157948591146e+00
1.250000000000000000e+01 1.292906147671876615e+00
1.270000000000000107e+01 1.298192186825926964e+00
1.290000000000000036e+01 1.300523194960029549e+00
1.310000000000000142e+01 1.306704270146633151e+00
1.330000000000000071e+01 1.305307320937681093e+00
1.350000000000000000e+01 1.306276866043456941e+00
1.370000000000000107e+01 1.310940828156169413e+00
1.390000000000000036e+01 1.306164672237607904e+00
1.410000000000000142e+01 1.309027501790764214e+00
1.430000000000000071e+01 1.307156747485083370e+00
1.450000000000000000e+01 1.305907116638174159e+00
1.470000000000000107e+01 1.308288558847716665e+00
1.490000000000000036e+01 1.308567136929838615e+00
1.510000000000000142e+01 1.314914783544784083e+00
1.530000000000000071e+01 1.309199634926283329e+00
1.550000000000000000e+01 1.311598056410295365e+00
1.570000000000000107e+01 1.318348112450919096e+00
1.590000000000000036e+01 1.312650957922018691e+00
1.610000000000000142e+01 1.314441893750902368e+00
1.630000000000000071e+01 1.311398847693352021e+00
1.650000000000000000e+01 1.307767857623458374e+00
1.670000000000000284e+01 1.315139220113421992e+00
1.689999999999999858e+01 1.315978550756282228e+00
1.710000000000000142e+01 1.305062258196999059e+00
1.730000000000000071e+01 1.317493483238474816e+00
1.750000000000000000e+01 1.317570607070635891e+00
1.770000000000000284e+01 1.314972597286941713e+00
1.789999999999999858e+01 1.318297000933737584e+00
1.810000000000000142e+01 1.314946335371291575e+00
1.830000000000000071e+01 1.309898089600208371e+00
1.850000000000000000e+01 1.316098797481965343e+00
1.870000000000000284e+01 1.316139661595130628e+00
1.889999999999999858e+01 1.318867739720610555e+00
1.910000000000000142e+01 1.318362792621618595e+00
1.930000000000000426e+01 1.319312997336764104e+00
1.950000000000000000e+01 1.316570116970237070e+00
1.970000000000000284e+01 1.312343386626471764e+00
1.989999999999999858e+01 1.314352794550761150e+00
2.010000000000000142e+01 1.315020449656274071e+00
2.030000000000000426e+01 1.313006736048246026e+00
2.050000000000000000e+01 1.315208947034331333e+00
2.070000000000000284e+01 1.310272738303008166e+00
2.089999999999999858e+01 1.313775341452530387e+00
2.110000000000000142e+01 1.314736181483004529e+00
2.130000000000000426e+01 1.311242049198630522e+00
2.150000000000000000e+01 1.313733154711625772e+00
2.170000000000000284e+01 1.310337941462944578e+00
2.189999999999999858e+01 1.311027860771684317e+00
2.210000000000000142e+01 1.310072812150023802e+00
2.230000000000000426e+01 1.312912590090822951e+00
2.250000000000000000e+01 1.310336220649843453e+00
2.270000000000000284e+01 1.310001072641108655e+00
2.289999999999999858e+01 1.308714107338087240e+00
2.310000000000000142e+01 1.305272132418122455e+00
2.330000000000000426e+01 1.305997499037175436e+00
2.350000000000000000e+01 1.308349171641823849e+00
2.370000000000000284e+01 1.306477311668449826e+00
2.389999999999999858e+01 1.307697176052097010e+00
2.410000000000000142e+01 1.302116048051308761e+00
2.430000000000000426e+01 1.301693003581496422e+00
2.450000000000000000e+01 1.305516576931852413e+00
2.470000000000000284e+01 1.298714854619384962e+00
2.489999999999999858e+01 1.299049620553375473e+00
2.510000000000000142e+01 1.299641336317036266e+00
2.530000000000000426e+01 1.297759035688405671e+00
2.550000000000000000e+01 1.296194690165917818e+00
2.570000000000000284e+01 1.296333611752684023e+00
2.589999999999999858e+01 1.298791181247540560e+00
2.610000000000000142e+01 1.294798520703824174e+00
2.630000000000000426e+01 1.294465584722070739e+00
2.650000000000000000e+01 1.293382076559219662e+00
2.670000000000000284e+01 1.289638995048143277e+00
2.689999999999999858e+01 1.290201396237190767e+00
2.710000000000000142e+01 1.285539728601746923e+00
2.730000000000000426e+01 1.287906783507885233e+00
2.750000000000000000e+01 1.283739193484269459e+00
2.770000000000000284e+01 1.283120133445764921e+00
2.789999999999999858e+01 1.282551209131287395e+00
2.810000000000000142e+01 1.282707276146731079e+00
2.830000000000000426e+01 1.282557908972904448e+00
2.850000000000000000e+01 1.278314672774344407e+00
2.870000000000000284e+01 1.280355339504783529e+00
2.889999999999999858e+01 1.277913155415889790e+00
2.910000000000000142e+01 1.277621274246048211e+00
2.930000000000000426e+01 1.273774342813525307e+00
2.950000000000000000e+01 1.269984855376953936e+00
2.970000000000000284e+01 1.271485696469197846e+00
2.989999999999999858e+01 1.269936652817436507e+00
3.010000000000000142e+01 1.268439326434411818e+00
3.030000000000000426e+01 1.263901276340623214e+00
3.050000000000000000e+01 1.264743756775833283e+00
3.070000000000000284e+01 1.261109400673969150e+00
3.089999999999999858e+01 1.261087527206556480e+00
3.110000000000000142e+01 1.258283319825267865e+00
