# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 1.336179004659617583e-03
1.700000000000000178e+00 7.180268835638620173e-02
1.899999999999999911e+00 1.449877483801503275e-01
2.100000000000000089e+00 1.170004355938126517e-01
2.300000000000000266e+00 1.146135308190837643e-01
2.500000000000000000e+00 2.193142679940197348e-01
2.700000000000000178e+00 4.867184695748322243e-01
2.900000000000000355e+00 5.856497988117336240e-01
3.100000000000000089e+00 6.086962529111760167e-01
3.300000000000000266e+00 7.186255258842546567e-01
3.500000000000000000e+00 8.075500962998241050e-01
3.700000000000000178e+00 8.151960452795173895e-01
3.900000000000000355e+00 8.105366066569738015e-01
4.099999999999999645e+00 8.019002533737622507e-01
4.300000000000000711e+00 8.278770514342542741e-01
4.500000000000000000e+00 8.835595822902304608e-01
4.700000000000001066e+00 9.219272259156717775e-01
4.900000000000000355e+00 9.430660160019451732e-01
5.099999999999999645e+00 9.839297562508089179e-01
5.300000000000000711e+00 1.015681852961510145e+00
5.500000000000000000e+00 1.027459821707313647e+00
5.700000000000001066e+00 1.041182535990957447e+00
5.900000000000000355e+00 1.036445037694797344e+00
6.099999999999999645e+00 1.060258997688630522e+00
6.300000000000000711e+00 1.061334568696792990e+00
6.500000000000000000e+00 1.092623171279031302e+00
6.700000000000001066e+00 1.093827603067369703e+00
6.900000000000000355e+00 1.128407285360295775e+00
7.099999999999999645e+00 1.153975925162018745e+00
7.300000000000000711e+00 1.166104344263043879e+00
7.500000000000000000e+00 1.189124255027810273e+00
7.700000000000001066e+00 1.189676005847282392e+00
7.900000000000000355e+00 1.187177062457572596e+00
8.100000000000001421e+00 1.201482331751970056e+00
8.300000000000000711e+00 1.204240702149003583e+00
8.500000000000000000e+00 1.201224308756538184e+00
8.699999999999999289e+00 1.209798760082812841e+00
8.900000000000000355e+00 1.219134694320385792e+00
9.100000000000001421e+00 1.219418773941699063e+00
9.300000000000000711e+00 1.234998924759685313e+00
9.500000000000000000e+00 1.235773413515923513e+00
9.700000000000001066e+00 1.235578661101844222e+00
9.900000000000000355e+00 1.244681643456789555e+00
1.010000000000000142e+01 1.245121662548448249e+00
1.030000000000000071e+01 1.240445901533832052e+00
1.050000000000000000e+01 1.239425037081422598e+00
1.070000000000000107e+01 1.248447501628572542e+00
1.090000000000000036e+01 1.248655756096521241e+00
1.110000000000000142e+01 1.245888165188862473e+00
1.130000000000000071e+01 1.251881484523166499e+00
1.150000000000000000e+01 1.256981065739257053e+00
1.170000000000000107e+01 1.258177098811977590e+00
1.190000000000000036e+01 1.264281289465812419e+00
1.210000000000000142e+01 1.257072425520664449e+00
1.230000000000000071e+01 1.262695106088785435e+00
1.250000000000000000e+01 1.265322865250985362e+00
1.270000000000000107e+01 1.261214690234687685e+00
1.290000000000000036e+01 1.263789063505089683e+00
1.310000000000000142e+01 1.273181138836546156e+00
1.330000000000000071e+01 1.269969003438530253e+00
1.350000000000000000e+01 1.277025932944881648e+00
1.370000000000000107e+01 1.274983486987308234e+00
1.390000000000000036e+01 1.278247977753303788e+00
1.410000000000000142e+01 1.275916399602468942e+00
1.430000000000000071e+01 1.279545383816298232e+00
1.450000000000000000e+01 1.276275114682781098e+00
1.470000000000000107e+01 1.278754883726229474e+00
1.490000000000000036e+01 1.284304147838067456e+00
1.510000000000000142e+01 1.281064414027698994e+00
1.530000000000000071e+01 1.281946362699184938e+00
1.550000000000000000e+01 1.282701144761368983e+00
1.570000000000000107e+01 1.288541046583371985e+00
1.590000000000000036e+01 1.284947522558516741e+00
1.610000000000000142e+01 1.281006001003432537e+00
1.630000000000000071e+01 1.286513438252325336e+00
1.650000000000000000e+01 1.289277839010803284e+00
1.670000000000000284e+01 1.293274288515596337e+00
1.689999999999999858e+01 1.291961965189193373e+00
1.710000000000000142e+01 1.291123951553184934e+00
1.730000000000000071e+01 1.295265598789230310e+00
1.750000000000000000e+01 1.295544014630589880e+00
1.770000000000000284e+01 1.296305659179108227e+00
1.789999999999999858e+01 1.295121928628049313e+00
1.810000000000000142e+01 1.295171697652978793e+00
1.830000000000000071e+01 1.300286237280343649e+00
1.850000000000000000e+01 1.296978217398621291e+00
1.870000000000000284e+01 1.296483937160423983e+00
1.889999999999999858e+01 1.300629740549946955e+00
1.910000000000000142e+01 1.303175441846704752e+00
1.930000000000000426e+01 1.302014729290133621e+00
1.950000000000000000e+01 1.301731786111465672e+00
1.970000000000000284e+01 1.302786166653715050e+00
1.989999999999999858e+01 1.302520416647679591e+00
2.010000000000000142e+01 1.302946220673919964e+00
2.030000000000000426e+01 1.306258767502558538e+00
2.050000000000000000e+01 1.302069664277399674e+00
2.070000000000000284e+01 1.303601778059372940e+00
2.089999999999999858e+01 1.306094992081416883e+00
2.110000000000000142e+01 1.301378806518833198e+00
2.130000000000000426e+01 1.308889137869803765e+00
2.150000000000000000e+01 1.304601798365132570e+00
2.170000000000000284e+01 1.310777018611821942e+00
2.189999999999999858e+01 1.309460253547296116e+00
2.210000000000000142e+01 1.307806712960618567e+00
2.230000000000000426e+01 1.303607021690513124e+00
2.250000000000000000e+01 1.305201498519307668e+00
2.270000000000000284e+01 1.309929502412364055e+00
2.289999999999999858e+01 1.305630204068916500e+00
2.310000000000000142e+01 1.307785626494154085e+00
2.330000000000000426e+01 1.303252760666124610e+00
2.350000000000000000e+01 1.307535338659518986e+00
2.370000000000000284e+01 1.307117008225179511e+00
2.389999999999999858e+01 1.306084099689297728e+00
2.410000000000000142e+01 1.306766303355462178e+00
2.430000000000000426e+01 1.307499037290511978e+00
2.450000000000000000e+01 1.303975855945382012e+00
2.470000000000000284e+01 1.309519828762395477e+00
2.489999999999999858e+01 1.305037479615885010e+00
2.510000000000000142e+01 1.302144064348534025e+00
2.530000000000000426e+01 1.300001833555766151e+00
2.550000000000000000e+01 1.305019682337456466e+00
2.570000000000000284e+01 1.301500955691587302e+00
2.589999999999999858e+01 1.301785880310602828e+00
2.610000000000000142e+01 1.302218649158224162e+00
2.630000000000000426e+01 1.299562607837390971e+00
2.650000000000000000e+01 1.301136239473586809e+00
2.670000000000000284e+01 1.298259842914040396e+00
2.689999999999999858e+01 1.298526607434679292e+00
2.710000000000000142e+01 1.295809180079833922e+00
2.730000000000000426e+01 1.295261692950530952e+00
2.750000000000000000e+01 1.295572393019500446e+00
2.770000000000000284e+01 1.291303026340996141e+00
2.789999999999999858e+01 1.293917093880333047e+00
2.810000000000000142e+01 1.292129884242364080e+00
2.830000000000000426e+01 1.287880327900115418e+00
2.850000000000000000e+01 1.287516362854544516e+00
2.870000000000000284e+01 1.288347853906174567e+00
2.889999999999999858e+01 1.285420979111080886e+00
2.910000000000000142e+01 1.285551209312769894e+00
2.930000000000000426e+01 1.281253097096671789e+00
2.950000000000000000e+01 1.279994089049672601e+00
2.970000000000000284e+01 1.278070709126369442e+00
2.989999999999999858e+01 1.278234418710074927e+00
3.010000000000000142e+01 1.276119202710725986e+00
3.030000000000000426e+01 1.272290497314546798e+00
3.050000000000000000e+01 1.272188796707228509e+00
3.070000000000000284e+01 1.272494471808926386e+00
3.089999999999999858e+01 1.267069557995476714e+00
3.110000000000000142e+01 1.267989935374046251e+00
