r,block_22,block_23,block_24,block_25,mean_last4
6.500000000000000000e+00,9.559627931205115781e-01,9.557890376778217512e-01,9.202995545112238052e-01,9.538813459991321020e-01,9.464831828271723646e-01
6.700000000000001066e+00,9.793408861056550618e-01,9.755094683586726934e-01,9.487886794992028694e-01,9.638331654462578557e-01,9.668680498524471201e-01
6.900000000000000355e+00,9.984417349864408431e-01,9.958293610516101291e-01,9.626771605373614094e-01,9.817928349561151347e-01,9.846852728828818790e-01
7.099999999999999645e+00,1.012254479901491422e+00,1.006311454237697633e+00,9.775775723322206456e-01,9.976312042316298756e-01,9.984436776757599219e-01
7.300000000000000711e+00,1.036321523372556452e+00,1.034025888876825450e+00,1.007525411613465094e+00,1.017485539156778973e+00,1.023839590754906492e+00
7.500000000000000000e+00,1.042047769384809364e+00,1.043930294254019620e+00,1.003607074174012626e+00,1.037122594053309976e+00,1.031676932966537841e+00
7.700000000000001066e+00,1.045458604235147693e+00,1.039185107721415591e+00,1.024267393874078280e+00,1.043372046794454056e+00,1.038070788156273849e+00
7.900000000000000355e+00,1.047723309055638596e+00,1.064356547167015332e+00,1.017267787120276878e+00,1.052249138774956627e+00,1.045399195529471914e+00
8.100000000000001421e+00,1.062462838645347629e+00,1.063938136457107442e+00,1.018120657916312455e+00,1.050684391825623676e+00,1.048801506211097800e+00
8.300000000000000711e+00,1.065296943299714361e+00,1.058564806376403489e+00,1.037111004686974924e+00,1.053093315327920276e+00,1.053516517422753207e+00
8.500000000000000000e+00,1.061462308049873515e+00,1.067349382746716646e+00,1.037459730961353133e+00,1.056364571967234989e+00,1.055658998431294515e+00
8.699999999999999289e+00,1.071664663864118738e+00,1.073102850641763695e+00,1.044057665602267759e+00,1.053194836386574185e+00,1.060505004123680983e+00
8.900000000000000355e+00,1.070216573457383857e+00,1.073332699217567132e+00,1.043340282810389930e+00,1.060716192445896322e+00,1.061901436982809255e+00
9.100000000000001421e+00,1.090105812056358925e+00,1.084141259713480077e+00,1.047656122566205772e+00,1.067075091064815240e+00,1.072244571350215114e+00
9.300000000000000711e+00,1.085542717005058666e+00,1.087066826749835569e+00,1.055268452079806574e+00,1.081238830240098592e+00,1.077279206518699795e+00
9.500000000000000000e+00,1.102340644343278386e+00,1.091690244952232991e+00,1.071740613147115218e+00,1.075883281527330704e+00,1.085413695992489380e+00
9.700000000000001066e+00,1.096512988634831043e+00,1.099988285711630542e+00,1.067160023787334211e+00,1.091591719963870943e+00,1.088813254524416685e+00
9.900000000000000355e+00,1.105408836538691153e+00,1.101539562822131613e+00,1.074033429864849287e+00,1.089394972714753607e+00,1.092594200485106359e+00
1.010000000000000142e+01,1.103938672080626127e+00,1.107773832098595035e+00,1.067108120530862791e+00,1.096753599019753223e+00,1.093893555932459405e+00
1.030000000000000071e+01,1.109777990133344217e+00,1.103473867503290462e+00,1.070928532141849798e+00,1.090481904312030625e+00,1.093665573522628609e+00
1.050000000000000000e+01,1.102525806911757389e+00,1.113428876209377361e+00,1.081986324846269776e+00,1.096501344461195737e+00,1.098610588107149955e+00
1.070000000000000107e+01,1.115254354068515807e+00,1.111079542619725524e+00,1.080828785202968545e+00,1.102075444400645754e+00,1.102309531572963852e+00
1.090000000000000036e+01,1.116598333365609763e+00,1.115576957110572698e+00,1.086209510603065587e+00,1.100691450988435127e+00,1.104769063016920905e+00
1.110000000000000142e+01,1.122423924642929949e+00,1.119789348979705057e+00,1.085422578448304698e+00,1.099704615460464829e+00,1.106835116882851189e+00
1.130000000000000071e+01,1.129663686836620995e+00,1.124587178683166488e+00,1.098390274104271036e+00,1.108316521227193929e+00,1.115239415212813112e+00
