r,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,block_16,block_17,block_18,block_19,block_20,block_21,block_22,block_23,block_24,block_25
2.100000000000000089e+00,1.159735166284787677e-01,1.146236961401176507e-01,1.169784228425505973e-01,1.145715495751061519e-01,1.129037261422720650e-01,1.258535065593178459e-01,1.169645243175297111e-01,1.112008477194778855e-01,1.170004355938126517e-01,1.296145496455423929e-01,1.316683658709501548e-01,1.200500462302890869e-01,1.207544043506439679e-01,1.248319658971426688e-01,1.254738496185298646e-01,1.268828779678573271e-01,1.224233893813448937e-01,1.217369288364596736e-01,1.139258047549091823e-01,1.006362275630227759e-01,1.029851695003612677e-01,1.122052944246150069e-01,1.009774644114866948e-01,1.104951438274758141e-01,1.087889860674892684e-01
2.300000000000000266e+00,1.140411974782531979e-01,1.095048482488897024e-01,9.895286493003445372e-02,1.037690548302480920e-01,1.134725106568427178e-01,1.072056789267582660e-01,1.054803192362321479e-01,1.129063821937030115e-01,1.146135308190837643e-01,1.117635520452147369e-01,1.089257106182245638e-01,1.080539759477742306e-01,1.060830595592904407e-01,1.091976861529120463e-01,1.120054390548061440e-01,1.060733780405837545e-01,1.148652871580795320e-01,1.083219794995714941e-01,9.754550137437296986e-02,9.044757751636130216e-02,9.524672227173636152e-02,8.416793065426934894e-02,9.186979757493089760e-02,8.814493506963722025e-02,9.468386260051382675e-02
2.500000000000000000e+00,2.149742880069969997e-01,2.181315472425844337e-01,2.098859066302670440e-01,2.137005433515579145e-01,2.128078761402319996e-01,2.260266756819568623e-01,2.257449419772737664e-01,2.217202089560784128e-01,2.193142679940197348e-01,2.197840071065647605e-01,2.289442860303792793e-01,2.041130026185275781e-01,2.385769727000753571e-01,2.207339887964284986e-01,2.266790885948188339e-01,2.313335484769346029e-01,2.091437438648031666e-01,2.120240786160969004e-01,1.925842543001419771e-01,1.774414065651171712e-01,1.783368552826443687e-01,1.855782097488432592e-01,1.824975787033457364e-01,1.824410394852859496e-01,1.809952750802479027e-01
2.700000000000000178e+00,4.906250953197705544e-01,5.018347804028643333e-01,4.841504243993714485e-01,4.927339644138592489e-01,4.912447316610741299e-01,5.004853444385014560e-01,4.939976152592247538e-01,5.007511575903538237e-01,4.867184695748322243e-01,5.254957710217905698e-01,4.929117044389245139e-01,5.008758724681202645e-01,4.929180342808272552e-01,4.986344981572682911e-01,5.096159647117750602e-01,5.085591257520835073e-01,4.909135957843016596e-01,5.094667935895794697e-01,4.778232754628978229e-01,4.223559622445738904e-01,4.180688921992280482e-01,4.234825071638704808e-01,4.341228947489069179e-01,4.106690042641121252e-01,4.335717385218899045e-01
2.900000000000000355e+00,6.151547986661849432e-01,5.985905933885077301e-01,5.884020127861675498e-01,5.827566311914931241e-01,6.090717651161569046e-01,6.122342112645284828e-01,5.981704326244080550e-01,6.074757013433004227e-01,5.856497988117336240e-01,6.022584537049913145e-01,6.192904384292882147e-01,6.334965140792999660e-01,6.158986022791269610e-01,6.183254082794857887e-01,5.986317552230584482e-01,6.204943113096105245e-01,6.398637769267984110e-01,6.187330598614055877e-01,5.505563410773387512e-01,5.398912354485964071e-01,5.151798489798836700e-01,5.379594171013578618e-01,5.194914695182835107e-01,4.998310341397324552e-01,5.237981412250876101e-01
3.100000000000000089e+00,6.360811965585196903e-01,6.236330398748139991e-01,6.110868271769093196e-01,5.954848911366733555e-01,6.243372484455460558e-01,6.560632429065784699e-01,6.141452200948974705e-01,6.373494806218740205e-01,6.086962529111760167e-01,6.315258174190684359e-01,6.356322462693286823e-01,6.391243993651699595e-01,6.389290141104149168e-01,6.235032324374983892e-01,6.427129906479877031e-01,6.290057878982603379e-01,6.285621551202833501e-01,6.369928301307649088e-01,5.734383146790885677e-01,5.440701203947178044e-01,5.199114114798321085e-01,5.425170851654335102e-01,5.432875827415989400e-01,5.147812490003128572e-01,5.485940242207125728e-01
3.300000000000000266e+00,7.263420761939786141e-01,7.097109670029583262e-01,6.775916420388057304e-01,7.023425639359560657e-01,7.022971067992989092e-01,7.345643779965359554e-01,7.276613276586895163e-01,7.009316652221080357e-01,7.186255258842546567e-01,7.098811784002747594e-01,7.404620199497675692e-01,7.381242761923120232e-01,7.150428685783284388e-01,7.409304980151922848e-01,7.383445112549065215e-01,7.257561681665779529e-01,7.169016145161611897e-01,7.099678456852722697e-01,6.515732894473740267e-01,6.097808390293835146e-01,5.910367186750213886e-01,6.058888866644267512e-01,6.169683324579969819e-01,5.945323144274717864e-01,6.184295900292964276e-01
3.500000000000000000e+00,7.949938911862503010e-01,8.035730477691809259e-01,7.678451102367190861e-01,7.975580011055791729e-01,8.204255529685464676e-01,8.345973073704074929e-01,7.865454888043849069e-01,8.227791529393148062e-01,8.075500962998241050e-01,8.399399167622023654e-01,8.224174779338517816e-01,8.230134889854108238e-01,8.470001347860173224e-01,8.231838186874713692e-01,8.094111784980935198e-01,8.081024667158659414e-01,8.013022925464260426e-01,8.176080606812536899e-01,7.498987774596608258e-01,6.868416499053345836e-01,6.851075246689402043e-01,7.033658488139273857e-01,7.052727837762858831e-01,6.745920088833304851e-01,6.723749445586818529e-01
3.700000000000000178e+00,8.424347733915313885e-01,8.286882797632674214e-01,8.106459484913783875e-01,8.451258768401365140e-01,8.603549764259215138e-01,8.622517599458965343e-01,8.585781337519269307e-01,8.580665170611997405e-01,8.151960452795173895e-01,8.412065974397212598e-01,8.482891458116433858e-01,8.541893007092477008e-01,8.370861196679511007e-01,8.491819666806245115e-01,8.498986157083582293e-01,8.482226204269556202e-01,8.368360351677534004e-01,8.429601401436803698e-01,7.573373456338283738e-01,7.190641402629940337e-01,6.855997740174784028e-01,7.223913826125809567e-01,7.317089380409518284e-01,6.953203163691882294e-01,7.178463226741360614e-01
3.900000000000000355e+00,8.178339151499708359e-01,8.318918435387668842e-01,8.087021996772018051e-01,8.086630886753995995e-01,8.444525844856725083e-01,8.470436688579192630e-01,8.248296784428168493e-01,8.346760156037574818e-01,8.105366066569738015e-01,8.431465615626199117e-01,8.621924277334193087e-01,8.456209257183786576e-01,8.453809822825167908e-01,8.507158310976935534e-01,8.476734391013701631e-01,8.514385409571411101e-01,8.386982022390071512e-01,8.489556141569742920e-01,7.687464248548526724e-01,6.920511746290375354e-01,6.787307319267853467e-01,7.345100869299896473e-01,7.178813167217787949e-01,6.796686959927015215e-01,7.091442601238375776e-01
