# r[A]  g(r)
1.000000000000000056e-01 0.000000000000000000e+00
3.000000000000000444e-01 0.000000000000000000e+00
5.000000000000000000e-01 0.000000000000000000e+00
7.000000000000000666e-01 0.000000000000000000e+00
9.000000000000000222e-01 0.000000000000000000e+00
1.100000000000000089e+00 0.000000000000000000e+00
1.300000000000000266e+00 0.000000000000000000e+00
1.500000000000000000e+00 2.004186729292153826e-03
1.700000000000000178e+00 7.336062299892896765e-02
1.899999999999999911e+00 1.366495433925249137e-01
2.100000000000000089e+00 1.139258047549091823e-01
2.300000000000000266e+00 9.754550137437296986e-02
2.500000000000000000e+00 1.925842543001419771e-01
2.700000000000000178e+00 4.778232754628978229e-01
2.900000000000000355e+00 5.505563410773387512e-01
3.100000000000000089e+00 5.734383146790885677e-01
3.300000000000000266e+00 6.515732894473740267e-01
3.500000000000000000e+00 7.498987774596608258e-01
3.700000000000000178e+00 7.573373456338283738e-01
3.900000000000000355e+00 7.687464248548526724e-01
4.099999999999999645e+00 7.553993287130330581e-01
4.300000000000000711e+00 7.506755811014048652e-01
4.500000000000000000e+00 8.113521384562395466e-01
4.700000000000001066e+00 8.554563229286739068e-01
4.900000000000000355e+00 8.832224271886989220e-01
5.099999999999999645e+00 9.084862363358315873e-01
5.300000000000000711e+00 9.322629459012816699e-01
5.500000000000000000e+00 9.527300717897617677e-01
5.700000000000001066e+00 9.623353001237530124e-01
5.900000000000000355e+00 9.783299480134998172e-01
6.099999999999999645e+00 9.796346487438551964e-01
6.300000000000000711e+00 9.760739447937374358e-01
6.500000000000000000e+00 9.956014186769426288e-01
6.700000000000001066e+00 1.031782153904961863e+00
6.900000000000000355e+00 1.033163964886376851e+00
7.099999999999999645e+00 1.052373308663926199e+00
7.300000000000000711e+00 1.075469229818259098e+00
7.500000000000000000e+00 1.075771810181323618e+00
7.700000000000001066e+00 1.097848151609374767e+00
7.900000000000000355e+00 1.097814795685258638e+00
8.100000000000001421e+00 1.101860674964871611e+00
8.300000000000000711e+00 1.098412373099741934e+00
8.500000000000000000e+00 1.117253660426362094e+00
8.699999999999999289e+00 1.117072678245325967e+00
8.900000000000000355e+00 1.120264365839218623e+00
9.100000000000001421e+00 1.119645429146109317e+00
9.300000000000000711e+00 1.129529919222655554e+00
9.500000000000000000e+00 1.135663572071862415e+00
9.700000000000001066e+00 1.150031426849404292e+00
9.900000000000000355e+00 1.145274798396862082e+00
1.010000000000000142e+01 1.141317413863789154e+00
1.030000000000000071e+01 1.155133100236817922e+00
1.050000000000000000e+01 1.145436948959897228e+00
1.070000000000000107e+01 1.151758212320005637e+00
1.090000000000000036e+01 1.153947113743030162e+00
1.110000000000000142e+01 1.161413955913056739e+00
1.130000000000000071e+01 1.165547275424805962e+00
1.150000000000000000e+01 1.168032846132385894e+00
1.170000000000000107e+01 1.171098341512806673e+00
1.190000000000000036e+01 1.169929897870942703e+00
1.210000000000000142e+01 1.176546859462545447e+00
1.230000000000000071e+01 1.180008931716193477e+00
1.250000000000000000e+01 1.174556149550201489e+00
1.270000000000000107e+01 1.180357244646190296e+00
1.290000000000000036e+01 1.179474461640486860e+00
1.310000000000000142e+01 1.188936946357842750e+00
1.330000000000000071e+01 1.189191076861573659e+00
1.350000000000000000e+01 1.196457787644684023e+00
1.370000000000000107e+01 1.194952498276935282e+00
1.390000000000000036e+01 1.198943568189838160e+00
1.410000000000000142e+01 1.202266829027473172e+00
1.430000000000000071e+01 1.200615266995931796e+00
1.450000000000000000e+01 1.205806636370183593e+00
1.470000000000000107e+01 1.204560577668788435e+00
1.490000000000000036e+01 1.206838493879551777e+00
1.510000000000000142e+01 1.203820386360945127e+00
1.530000000000000071e+01 1.212372548004986506e+00
1.550000000000000000e+01 1.208988670969046719e+00
1.570000000000000107e+01 1.215764763428428541e+00
1.590000000000000036e+01 1.212322134005222818e+00
1.610000000000000142e+01 1.221688767527948194e+00
1.630000000000000071e+01 1.223321202532562380e+00
1.650000000000000000e+01 1.217925073386314727e+00
1.670000000000000284e+01 1.219095675891986863e+00
1.689999999999999858e+01 1.226579587254719828e+00
1.710000000000000142e+01 1.226267253803324575e+00
1.730000000000000071e+01 1.228266942696089270e+00
1.750000000000000000e+01 1.232416352243502544e+00
1.770000000000000284e+01 1.232361002870544286e+00
1.789999999999999858e+01 1.232789704857189417e+00
1.810000000000000142e+01 1.237948483125227206e+00
1.830000000000000071e+01 1.239639722411017164e+00
1.850000000000000000e+01 1.240713751631115969e+00
1.870000000000000284e+01 1.243425787343638733e+00
1.889999999999999858e+01 1.245033572206291517e+00
1.910000000000000142e+01 1.242261948580558606e+00
1.930000000000000426e+01 1.244033240663738216e+00
1.950000000000000000e+01 1.246531855564597002e+00
1.970000000000000284e+01 1.249825106724789414e+00
1.989999999999999858e+01 1.250218353132783511e+00
2.010000000000000142e+01 1.257305047176114021e+00
2.030000000000000426e+01 1.256046460888940119e+00
2.050000000000000000e+01 1.258763327789552466e+00
2.070000000000000284e+01 1.257361034943211608e+00
2.089999999999999858e+01 1.260396151045241719e+00
2.110000000000000142e+01 1.261035018334676350e+00
2.130000000000000426e+01 1.258066595297947732e+00
2.150000000000000000e+01 1.265189491158146717e+00
2.170000000000000284e+01 1.265370079667422321e+00
2.189999999999999858e+01 1.267373227757683685e+00
2.210000000000000142e+01 1.272721547600933700e+00
2.230000000000000426e+01 1.267797483038865636e+00
2.250000000000000000e+01 1.277699452776007716e+00
2.270000000000000284e+01 1.273773658129513153e+00
2.289999999999999858e+01 1.273070559821080971e+00
2.310000000000000142e+01 1.282407414231466980e+00
2.330000000000000426e+01 1.279275354133851739e+00
2.350000000000000000e+01 1.283101870345760176e+00
2.370000000000000284e+01 1.278778414629931026e+00
2.389999999999999858e+01 1.283603684726888350e+00
2.410000000000000142e+01 1.283531695968103792e+00
2.430000000000000426e+01 1.287963650252884840e+00
2.450000000000000000e+01 1.289108568922394227e+00
2.470000000000000284e+01 1.292436147220278775e+00
2.489999999999999858e+01 1.289272909421872004e+00
2.510000000000000142e+01 1.293692120690788094e+00
2.530000000000000426e+01 1.291693998299419999e+00
2.550000000000000000e+01 1.295648371718197023e+00
2.570000000000000284e+01 1.297338535037793283e+00
2.589999999999999858e+01 1.295305685289618092e+00
2.610000000000000142e+01 1.297098371902273728e+00
2.630000000000000426e+01 1.300673930740750883e+00
2.650000000000000000e+01 1.300034918803645967e+00
2.670000000000000284e+01 1.302542047926352753e+00
2.689999999999999858e+01 1.302983817831671276e+00
2.710000000000000142e+01 1.303998370996895417e+00
2.730000000000000426e+01 1.302209579822432239e+00
2.750000000000000000e+01 1.304725867009046247e+00
2.770000000000000284e+01 1.301997727978022379e+00
2.789999999999999858e+01 1.305102143225099320e+00
2.810000000000000142e+01 1.305622567528972766e+00
2.830000000000000426e+01 1.308039223789599692e+00
2.850000000000000000e+01 1.307181321999813406e+00
2.870000000000000284e+01 1.310710577461379200e+00
2.889999999999999858e+01 1.307943267882794913e+00
2.910000000000000142e+01 1.306151894853656348e+00
2.930000000000000426e+01 1.309025336655250893e+00
2.950000000000000000e+01 1.309538794213742641e+00
2.970000000000000284e+01 1.307453733207015523e+00
2.989999999999999858e+01 1.308358190938167631e+00
3.010000000000000142e+01 1.307926942645031732e+00
3.030000000000000426e+01 1.310036178740216384e+00
3.050000000000000000e+01 1.310471217791425280e+00
3.070000000000000284e+01 1.308090850955483830e+00
3.089999999999999858e+01 1.310081346858451123e+00
3.110000000000000142e+01 1.304589767524326094e+00
